,날짜,제목,요약
24,2017.12.01.,감산 합의로 국제유가 더 오르나?…美 셰일오일이 최대 변수,"2017.12.01 OPEC, 내년 6월 감산 재검토 결과도 관건 = 유가 견인을 위한 산유국들의 산유량 감축 조치가 내년 말까지 연장되면서 최근 60달러선을 넘어선 국제유가의 향배에도 관심이 집중되고 있다. 석유수출국기구(OPEC)..."
25,2017.12.02.,"국제유가, 원유감산 연장에 상승…WTI 1.7%↑",국제유가는 1일(현지시간) 원유 감산 연장에 힘입어 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 1.7%(0.96달러) 오른 58.36달러에 거래를 마쳤다. 런던 ICE...
26,2017.12.08.,"국제유가, 급락 후 숏커버링에 반등",[뉴욕=뉴스핌 김민정 특파원] 국제유가가 7일(현지시간) 상승했다. 전날 미국의 휘발유와 정제유 재고 급증으로 유가가 2개월 만에 가장 큰 낙폭을 보인 가운데 투자자들은 숏커버링에 나섰다. 뉴욕상업거래소...
27,2017.12.01.,"국제유가, 감산연장에도 강보합…WTI 0.17%↑",국제유가는 30일(현지시간) 원유 감산 연장 합의에도 소폭 오르는 데 그쳤다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.17%(10센트) 오른 57.40달러에 거래를...
28,2017.12.06.,[국제유가] 미 원유재고 감소 전망… WTI 0.26%↑,본문 이미지 영역 국제유가. /사진=머니투데이 DB 국제유가가 상승 마감했다. 5일(현지시간) 뉴욕상업거래소(NYMEX)에서 1월 인도분 서부텍사스산원유(WTI)는 전 거래일 대비 배럴당 15센트(0.26%) 오른 57.62달러에...
29,2017.12.09.,국제유가 ‘주춤’ 국내 기름값 상승세도 완화 전망,사진=연합뉴스 [한스경제 허인혜] 미국 셰일오일 생산량 증가 등에 따라 국제유가의 상승세가 다소 완화되면서 국내 기름값 오름폭도 완곡해질 것으로 보인다. 한국은행의 해외경제포커스 보고서에 실린 '최근...
30,2017.12.06.,"""셰일오일·전기차 확산… 5년 간 유가 50~70달러""","국제 유가는 올 들어 배럴당 50~60달러 선까지 회복했다. 세계 경기가 살아나며 수요가 하루 150만 배럴 증가하고, 산유국 감산으로 공급은 180만 배럴 줄어 시장 균형을 회복했기 때문이다. 그는 “내년에 세계 경제..."
31,2017.12.04.,내년 3% 성장 계속될까…금리·유가·환율 3高 주목,올해 초 40달러선이었던 국제유가는 최근 산유국 감산 합의로 50달러대로 반등했고 오름세가 지속됐다. 연초 1200원이 넘었던 원/달러 환율은 최근 1080원대로 떨어졌다. 한은은 지난달 금리를 올렸고 내년에도 1~2회 추가...
32,2017.12.05.,[국제유가] 美 셰일 경쟁력 영향 하락… 'WTI 57.47달러',"[뉴데일리-송승근 기자] 국제유가가 미국 셰일회사의 경쟁력 제고 전망, 미 원유시추기 수 증가, 미 달러화 강세 등의 영향으로 하락했다. 4일 WTI(미 서부텍사스원유)는 전날보다 배럴당 89센트 떨어진 57.47달러를..."
33,2017.12.06.,美 셰일 덕에…韓 경제 '유가 공포증' 덜었다,"- 美 셰일 덕에…''60달러의 벽'' 막힌 국제유가 - 배럴당 60弗대, 원유수입국 韓 경제에는 호재 - 예측 어려운 중동 불안…유가 급등 가능성도 미국 오클라호마주 그랜트·가필드 카운티에서 SK이노베이션이 생산하고..."
34,2017.12.07.,국제유가 60달러 회복에 '중동 건설 특수' 기대감↑…최대 복병 '환율',국제유가 상승으로 사우디아라비아 등 중동 산유국의 발주가 늘어날 것으로 기대하고 있지만 '원화 강세'라는 복병을 만난 때문이다. 환율 하락은 가격경쟁력 저하로 연결돼 '중동발(發) 특수'를 제대로 누리지 못할...
35,2017.12.08.,"국제유가, 저가 매수세에 1%대 반등","[tbs 김새봄 기자] 국제유가가 저가 매수세에 1%대로 반등했습니다. 뉴욕상업거래소에서 다음달 인도분 서부텍사스산 원유는 전날보다 배럴당 73센트, 1.3% 상승한 56달러 69센트에 거래를 마쳤습니다. 런던 ICE..."
36,2017.12.06.,유가 상승에...진에어 투자자 고민 깊어지네,8일 상장 앞두고 찬물 우려 LCC 치킨게임 벌어질 수도 [서울경제] 석유수출국기구(OPEC) 감산 연장 결정에 국제유가가 오를 조짐을 보이면서 올해 마지막 상장 대어로 꼽히는 진에어 투자자들의 고민이 깊어지고 있다....
37,2017.12.09.,중동 산유국 파업?...국제 유가 이틀째 상승,"가운데 중동지역 불안감이 고조된 것이 유가를 끌어 올렸다. 로이터는 ""이날 국제유가가 상승했다""면서 ""중국의 원유 수요 증가 가능성에다 아프리카 최대 산유국의 파업 가능성이 부각되면서 유가가 올랐다""고 전했다."
38,2017.12.01.,"현대경제硏 ""국제유가 80달러 되면 실질GDP 0.96% 감소""",기름값 17주 연속 오름세 국제유가가 다시 상승하면서 국내 기름값도 오르고 있다. 한국석유공사 유가 정보 서비스 오피넷에 따르면 11월 넷째 주 주유소 휘발유 판매가격은 전주보다 6.5원 오른 ℓ(리터)당 1천526....
39,2017.12.06.,"심상찮은 환율·유가, 경영전략 '안갯속'","- [2018 기업경기 전망]⑦요동치는 대외변수 - “원화, 올해보다 강세”..수출기업은 비상 - 기업 85% “내년 국제유가, 50弗 넘을 것” 2018년 무술년(戊戌年)은 수출 기업들에 녹록잖은 한 해가 될 전망이다. 기업들은..."
40,2017.12.04.,"OPEC감산 합의, 국제 유가 상승세…정유·조선 '밝음' 항공 '흐림'","OPEC 회의, 리비아 나이지리아 동참 등 역대 최고 실적 정유, 재고마진 상승으로 매출↑…항공, 1달러 370억 '손해' = 지난달 30일 석유수출국기구(OPEC) 총회에서 이뤄진 감산 합의 연장으로 국제 유가가 내년에도 상승세를..."
41,2017.12.08.,"""2018년 석유화학산업, 유가·ECC 증설이 위협요인""","ⓒEBN [EBN 최수진 기자]나이스(NICE)신용평가가 내년 석유화학산업 업황에 대해 ""올해의 우호적인 업황이 내년까지 유지되지만 미국의 증설과 국제유가 변동에 따라 일부 품목의 실적 저하가 우려된다""고 전망했다...."
42,2017.12.04.,"'감산연장+경기회복' 타고...""유가 내년 70弗 간다""",내년 국제유가 전망이 잇달아 상향 조정되고 있다. 유럽의 대형 투자은행인 ABN암로는 내년 유가가 이란·시리아 등 중동의 지정학적 불안정으로 지난 2015년 이후 최초로 배럴당 70달러에 이를 것이라는 예상도...
43,2017.12.07.,'스멀스멀' 상승하는 유가…긴장하는 항공株,"김훈길 하나금융투자 연구원은 ""석유수출국기구(OPEC)의 감산연장 기대감을 바탕으로 11월 한 달 간 국제유가가 큰 폭으로 상승했다""고 진단했다. 이어 ""원유시장에서 OPEC의 가격통제능력은 셰일오일의 등장을..."
44,2017.12.03.,내년 기름값 부담 커지나…'감산+경기회복'에 유가전망 올려,"IB들 올해 53.50달러→내년 56.25달러…""70달러 간다"" 전망도 美셰일오일 붐에도 회의론 부상…이란·베네수엘라 불안도 변수 원유 재고가 남아도는 탓에 내년에도 발목 잡힐 줄 알았던 국제유가 전망치가 새해를..."
45,2017.12.01.,생활물가 안정세··유가·AI 불안,"기재부 관계자는 “향후 물가는 국제유가 변동과 AI 재발 등의 위험요인이 있으나, 농산물 가격 안정 등으로 안정세가 지속될 것”이라며 “가격 강세가 이어지는 일부 생활밀접 품목에 대한 수급 안정 조처를 하고..."
46,2017.11.30.,"국제유가, 감산연장 불확실성에 약세…WTI 1.2%↓",국제유가는 29일(현지시간) 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.69달러(1.2%) 하락한 57.30달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
47,2017.11.29.,"국제유가, OPEC 회동 앞두고 하락…WTI 0.2%↓",국제유가는 28일(현지시간) 소폭 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유(WTI)는 배럴당 0.2%(0.12달러) 떨어진 57.99달러에 거래를 마쳤다. 런던 ICE 선물거래소의 내년 1월물...
48,2017.12.07.,[특징주]국제유가 급락에 정유·화학주 약세,"간밤 국제유가가 급락하자 LG화학(051910), 롯데케미칼(011170), S-Oil 등 정유화학주가 2%대 하락세를 보이고 있다. 7일 마켓포인트에 따르면 코스피 화학 업종지수는 이날 오전 9시 48분 현재 전 거래일보다 1.35..."
49,2017.11.28.,"국제유가, OPEC 회동 앞두고 혼조…WTI 1.4%↓",국제유가는 27일(현지시간) 혼조세를 나타냈다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유(WTI)는 배럴당 1.4%(0.84달러) 떨어진 58.11달러에 거래를 마쳤다. 런던 ICE 선물거래소의 내년...
50,2017.12.01.,"현대硏 ""국제유가 80달러 되면 실질GDP 0.96% 축소""","[현대경제연구원 추정, ""국제유가 상승, 소비·투자에 부정적 영향…국내 경기의 하방 압력으로 작용""] 8일 오후 서울 시내의 한 주유소에서 휘발유가 2096원에 판매되고 있다. 2017.11.08./사진=뉴시스 30일(현지시간)..."
51,2017.12.05.,"국제유가, 미 셰일 증산 우려에 하락",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 4일(현지시간) 하락했다. 석유수출국기구(OPEC)와 러시아 등 OPEC 비회원국의 감산 연장이 미국의 증산으로 이어질 것이라는 우려가 이날 유가 하락을 지지했다. 미국...
52,2017.12.03.,국제 유가 상승에 국내 석유제품 수출량 사상 최대치 기록,“4분기 미국과 유럽 중심…수요 확대 전망” [한국금융신문 유명환 기자] 최근 석유수출국기구(OPEC)를 이끌고 있는 사우디아라비아와 세계 최대 산유국 중 하나인 러시아 등이 감산 합의에 따라 국제 유가가...
53,2017.12.06.,"국제유가, OPEC 생산량 감소 등 영향에 상승",[한국무역신문 = 김성욱 기자] 국제유가가 11월 석유수출국기구(OPEC) 생산량 감소 등 석유시장 재균형 기대감에 상승했다. 6일 한국석유공사에 따르면 5일(현지시간) 뉴욕상품거래소(NYMEX)에서 서부텍사스산원유...
54,2017.12.07.,[국제유가] 6일 두바이유 상승,[투데이에너지 조대인 기자] 6일 국제유가는 서부 텍사스산 원유와 북해산 브렌트유는 하락한 반면 국내 기준유가로 적용되는 두바이유는 하락했다. 한국석유공사는 서부 텍사스산원유인 WTI가 전일대비...
55,2017.11.30.,"고금리·고유가·원화 강세 '뉴노멀' 예고, 기업들 경영전략 다시 짠다",앞서 국제 유가 역시 2년 반 만에 배럴당 60달러 선을 넘나들고 있다. 원/달러 환율도 두 달도 안 돼 1130원대에서 1080원대까지 떨어졌다. 이창선 LG경제연구원 수석연구위원은 “금리가 올라가면 기업들의 이자 부담이...
56,2017.12.06.,"국제유가, 美 셰일오일 증산 우려에 '찔끔' 상승",국제유가가 5일(현지시간) 소폭 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유(WTI)는 전날보다 배럴당 0.15달러(0.3%) 오른 57.62달러에 거래를 마쳤다. 런던 ICE 선물거래소의 내년...
57,2017.12.07.,‘중동발 불안’ 경제 불똥?…증시·국제유가 불안,""" 최근 국제 유가를 끌어올린 원인이 사우디 왕실의 권력 다툼 등 중동 갈등에 있는데 트럼프 대통령의 발언으로 갈등이 더욱 고조될 것이란 얘기입니다. 결과적으로 우리 경제가 단기적 충격을 받는 것이..."
58,2017.12.07.,"국제유가 하락, 미국 원유 생산량 늘어 당분간 상승 어려워","국제유가가 하락했다. 미국에서 원유 생산량이 크게 늘어난 영향을 받았다. 7일 한국석유공사에 따르면 서부텍사스산 원유는 6일 배럴당 55.96달러에, 브렌트유는 61.22달러에 거래를 마쳤다. 전일보다 서부텍사스산..."
59,2017.12.07.,6일 국제 유가 하락,"한국석유공사는 6일 국제 유가가 미국 석유 제품 재고 증가, 미국 원유 생산량 역대 최고치 기록, 미국 달러화 강세 등으로 하락했고, 미국 원유 재고 감소 등은 하락폭을 제한했다고 분석했다.  "
60,2017.11.28.,"짐 오닐 ""국제유가 80달러까지 상승…수요 강해""",= 골드만삭스 자산운용 회장과 영국 재무부 차관을 지낸 경제학자 짐 오닐 영국 맨체스터대 교수가 국제유가가 배럴당 80 달러까지 상승할 수 있다는 전망을 내놨다. 28일(현지시간) CNBC에 따르면 오닐 교수는 최근 한...
61,2017.12.02.,산유국 감산 연장이 국제유가에 미칠 영향은,산유국별 감산 목표(자료 : 국제금융센터) [ 주요 산유국들이 산유량 감산 규모를 연장하기로 합의함에 따라 국제유가가 상승세를 멈추고 당분간 안정될 가능성이 커졌다. 국제유가는 당분간 안정세를 유지하겠지만...
62,2017.12.06.,"4일 국제 유가, 하락","99달러에 거래를 마쳤다.   한국석유공사는 4일 국제 유가가 차익 실현 매물 출회, 미국 셰일 회사의 경쟁력 제고 전망, 미국 원유시추기 수 증가, 미국 달러화 강세 등의 영향으로 하락했다고 전했다.  "
63,2017.12.06.,[국제유가] OPEC 감산 기한 연장·美재고량 하락에 반등,문은주 기자 joo0714@ajunews.com [사진=연합/AP] 5일(이하 현지시간) 국제유가는 산유국의 감산 연장 합의 속 미국 재고량 감소 영향에 소폭 상승했다. 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유...
64,2017.12.04.,[국제유가] 감산합의 영향에 ‘하락’… WTI 58.36달러,본문 이미지 영역 국제유가. /사진=머니투데이 DB 지난주(11월24일~12월1일) 국제유가가 전주 대비 하락했다. 4일 한국석유공사에 따르면 뉴욕상업거래소(NYMEX)에서 지난주 서부텍사스산원유(WTI) 가격은 전주...
65,2017.12.05.,"가파르게 오른 국제유가, 상승세 꺾이나","OPEC 감산 기간 재연장 영향 차익실현 매물 현실화에 하락 국제유가가 지난 4일(미국 현지시간) 1%대 하락한 가운데, 국제유가의 상승세가 점차 꺾일 것이라는 전망이 나왔다. 이날 뉴욕상업거래소(NYMEX)에서 내년..."
66,2017.12.07.,[국제유가] 美휘발유 재고량 증가에 하락...WTI 2.95%↓,문은주 기자 joo0714@ajunews.com [사진=연합/AP] 6일(이하 현지시간) 국제유가는 미국 휘발유 재고량 증가의 영향으로 큰 폭의 하락세를 이어갔다.   뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부 텍사스산 원유...
67,2017.12.06.,[국제유가] 수요 강세+美 재고 감소 전망에 WTI 0.3% 반등,국제유가가 소폭 올랐다. 수요 강세와 미국 원유재고 감소 전망이 유가를 부양했다. 5일(현지시간) 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유(WTI)는 전날보다 배럴당 0.15달러(0.3%) 오른 57....
68,2017.12.07.,"국제유가, 큰 폭 하락…美 휘발유 재고 증가","[tbs 백창은 기자] 국제유가가 미국의 휘발유 재고가 크게 증가했다는 소식에 비교적 큰 폭으로 하락했습니다. 뉴욕상업거래소에서 내년(2018년) 1월 인도분 서부텍사스산 원유는 어제보다 2.9%, 배럴당 1달러..."
69,2017.12.06.,"""국제유가 상승, 美셰일 시추활동 급증으로 이어지지 않을 듯""",연장으로 국제유가가 상승하더라도 시추활동을 증가시키지 않겠다고 밝혔다. 3개사는 증산 대신 투자자들의 수익률 제고를 위해 비용통제를 강화하고 이익 창출에 집중하겠다는 방침이다. 셰일업계는 현재...
70,2017.12.08.,"국제 유가, 전날의 급락 딛고 반등...美 정유주는 혼조","유가, 전날 급락한데 따른 반발 매수 일어난 것이 반등 요인 [초이스경제 이미애 기자] 7일(미국시각) 국제 유가가 전날의 급락세를 뒤로 하고 반등했다. 원유 저가 매수세가 나타난 것이 유가 반등의 원인으로..."
71,2017.12.07.,치솟는 유가 … 겁나는 주유비,[인천일보] ▲ 국제유가 상승여파로 국내 유가가 18주 연속 상승세를 타며 운전자들의 부담이 가중되고 있는 가운데 6일 오전 수원시 팔달구의 한 주유소에 기름값을 알리는 가격표 앞에서 한 운전자가...
72,2017.11.30.,"국제유가, OPEC 회의 앞두고 사흘째 하락",국제유가가 사흘째 하락했다. 석유수출국기구(OPEC)의 정례회의를 앞두고 감산 연장 여부에 대한 불확실성이 커졌기 때문이다. 29일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된 12월 인도분 서부텍사스산 원유...
73,2017.11.25.,"국제유가, OPEC 감산기대에 강세…WTI 60달러 육박",국제유가는 24일(현지시간) 산유국들의 감산 기대감에 강세를 보였다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유(WTI)는 배럴당 0.93달러(1.6%) 상승한 58.95달러에 거래를 마쳤다. 이에 따라...
74,2017.12.05.,[국제유가] 美 원유 시추장비 증가에 하락...WTI 1.58%↓,문은주 기자 joo0714@ajunews.com [사진=연합/AP] 4일(이하 현지시간) 국제유가는 미국 시추장비 증가 등 산유량 확대 우려에 대한 영향으로 하락했다.   이날 뉴욕상업거래소(NYMEX)에서 1월 인도분 서부텍사스산 원유...
75,2017.12.02.,[국제유가] OPEC 감산기간 합의에 상승세 'WTI 58.36달러',[뉴데일리-조재범 기자] 국제유가가 OPEC(석유수출국기구)의 감산기간 재연장 합의 여파에 상승세를 보였다. 2일 한국석유공사에 따르면 1일(현지시간) 뉴욕상업거래소(NYMEX)의 미국 서부텍사스산원유(WTI) 가격은...
76,2017.12.06.,[글로벌 에너지] 국제유가 60달러 초읽기…유가랠리의 숨은 손 ‘사우디 실세...,지난 11월 초 빈살만 왕세자는 피의 숙청 작업을 단행하며 왕족과 고위관료들을 연행했고 이에 따른 지정학적 리스크 탓에 국제유가(WTI 기준)는 배럴당 60달러 바로 앞까지 치솟았다. 왕위 계승 서열 1위로 공식 등극한...
77,2017.12.02.,OPEC 감산 연장… “유가 80弗땐 실질GDP 0.96% 감소”,[서울신문] 현대경제硏 “산업 경쟁력 악화 우려”국제 유가가 배럴당 80달러까지 오르면 실질 국내총생산(GDP)이 0.96% 떨어질 수 있다는 연구가 나왔다. 현대경제연구원은 1일 ‘국제 유가 상승의 한국 경제 파급...
78,2017.12.05.,[국제유가] WTI 57달러선 1%대 하락…미국 증산에 이익실현,국제유가가 4일(현지시간) 1% 넘게 하락했다. 시장이 미국의 증산 신호에 주목하면서 이익실현에 나섰다. 다만 지난주에 결정된 감산협약 연장이 하락폭을 제한했다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분...
79,2017.12.07.,"대신증권, 국제유가 내년 상반기 약세 전망...하반기에는 60달러 돌파 예상",대신증권은 국제유가가 내년 상반기 배럴당 50달러 초반까지 하락했다가 하반기 이후 강세를 보일 것으로 전망했다. 대신증권 전재천 연구원은 “서부텍사스산 원유(WTI)는 내년 상반기까지 약세를 띨 것”이라며...
80,2017.12.04.,[더벨]유가 오르는데…MLP펀드는 하락세,"국제유가가 최근 배럴당 50달러 후반대로 오르면서 원자재펀드 수익률이 전반적으로 개선되고 있는 가운데 마스터합자회사(MLP, Master Limited Partnership)펀드는 부진을 이어가고 있다. 법인세 하향 조정을 골자로..."
81,2017.11.23.,"국제유가, 美원유재고 감소에 강세…WTI 2.1%↑",국제유가는 22일(현지시간) 비교적 큰 폭으로 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 내년 1월 인도분 서부텍사스산 원유(WTI)는 전날보다 배럴당 1.19달러(2.1%) 상승한 58.02달러에 거래를 마쳤다. 이는 2015년 6월...
82,2017.12.06.,"[증시브리핑] 국제유가, 감산연장 기대감 지속···소폭 상승",◇ 상품 마감 국제유가 소폭 올랐습니다. 오늘 에너지정보청에 따르면 12월에 미국이 사상 최대의 셰일가스를 생산할 것이란 분석이 나왔습니다. 하지만 이와 상반되게 골드만삭스는 내년도 유가 전망치를 기존...
