,날짜,제목,요약
19,2018.08.10.,[국제유가] WTI 0.2%↓…무역전쟁 격화에 이틀째 하락,국제유가는 9일(현지시간) 이틀째 하락세를 기록했다. 미국과 중국간 무역마찰에 따른 수요둔화 전망이 발목을 잡으면서다. 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 전날보다 배럴당...
20,2018.08.07.,"국제유가, 이란제재 복원에 상승…WTI 0.8%↑",국제유가는 6일(현지시간) 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 전 거래일보다 배럴당 0.8%(0.52달러) 상승한 69.01달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
21,2018.08.09.,"국제유가, 中 수요 둔화 우려에 급락",[뉴욕=뉴스핌] 김민정 특파원 = 국제유가가 8일(현지시간) 큰 폭으로 하락했다. 중국의 수요 둔화 우려가 지속했고 미국과 중국의 무역갈등이 심화하는 가운데 휘발유 수요 감소 가능성도 유가를 압박했다. 원유...
22,2018.08.07.,美 '이란 제재' 가동...국제유가 요동,"ⓒ게티이미지 미국이 대 이란 경제 제재를 재개함에 따라 국제유가가 배럴당 90달러를 넘을 수 있다는 관측이 나왔다. 미국 조치에 반발하며 원유, 천연가스 등 이란 주요 에너지 자원 수입을 지속하겠다고 밝힌..."
23,2018.08.03.,상반기 경상흑자 6년 만에 최소…국제유가 상승 영향(종합),국제유가의 인상으로 수입은 늘어났고 더딘 중국인 관광객 회복과 해운업 부진 등으로 서비스수지 적자는 악화된 영향이다. 한국은행이 3일 발표한 '2018년 6월 국제수지(잠정)'에 따르면 올 상반기 경상수지...
24,2018.08.09.,"미중무역전쟁 2라운드, 中 매체들 ""미국 비난 총 공세"" `눈길` …국제유가 3%...","한편, 국제유가가 미중 무역전쟁 격화에 급락했다. 8일(현지시간) 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 전날보다 배럴당 3.2%(2.23달러) 내린 66.94달러에 거래를 마쳤 7주 만에 최저..."
25,2018.08.09.,휘발유가격 '마이너스 탄력세율' 발의…고유가 땐 낮아지나,"이어 이 의원은 ""특히 휘발유 및 경유 등 유류에 대해서는 교통·에너지·환경세뿐만 아니라 교육세, 자동차세(주행분), 관세, 부가가치세 등이 추가적으로 부과되어 국민의 부담이 과중함에도 불구하고 국제유가..."
26,2018.08.09.,中 미국산 석유제품에 관세…유가 하락에 인버스 ETN·ETF 관심,"안예하 키움증권 연구원은 ""미 에너지 정보청 EIA에 따르면 지난주 원유 재고가 135만 배럴 감소했다고 발표했는데 시장 예상치(230만 배럴 감소)보다 적게 감소했다는 점도 국제유가 하락을 부추길 것""이라고..."
27,2018.08.07.,"키움증권 ""하반기 국제유가 밴드 60∼80달러""","안예하 연구원은 7일 ""이란에 대한 미국의 1차 경제 제재가 부활했다""며 ""미국과 이란의 정치 갈등으로 국제유가의 변동성 확대 가능성이 커졌다""고 진단했다. 그는 ""올해 하반기 국제유가는 배럴당 70달러 선을..."
28,2018.08.09.,"유가 하락, WTI 66.94달러…미·중 무역분쟁 심화",[자료=한국석유공사] [EBN 최수진 기자]국제유가가 미국과 중국의 무역분쟁 심화에 따른 석유수요 감소 우려 등의 영향으로 대폭 하락했다. 9일 한국석유공사에 따르면 8일(현지시간) 뉴욕상업거래소(NYMEX)의 미국...
29,2018.08.09.,"유가, 이란산 원유 제재 영향 급등(?)…""영향 제한적""","KB증권의 임재균 연구원은 ""도널드 트럼프 미국 대통령의 중간선거는 11월 6일 예정돼 있는데 이란산 원유 제재가 시작되는 11월 5일 국제유가가 급등하면 선거에 불리하게 작용할 것""이라며 ""이란산 원유 수입에 대한..."
30,2018.08.07.,"국제유가, 이란 제재에 상승 전환…WTI 69.01 달러",= 국제유가가 미국의 이란 재개에 상승세로 전환했다. 6일(현지시간) 마켓워치에 따르면 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI)는 전일 대비 0.75%(0.52 달러) 상승한 배럴당 69.01 달러에...
31,2018.08.08.,"아시아나, 2분기 영업익 11% 감소...유가급등에 발목","아시아나항공 관계자는 ""국내와 국제 여객 수요가 꾸준히 늘고 화물사업의 성장세가 유지되는 등 영업부문 전반에 걸쳐 고른 실적을 낸 결과""라며 ""분기 영업이익은 국제유가 급등에 따른 유류비 지출이 늘면서..."
32,2018.08.07.,"美, 이란 제재 2년 7개월 만에 재개…유가 상승 전망",미국내에서는 대 이란 제재로 원유 공급이 줄어 국제유가가 연말에 배럴당 90달러까지 오를 수 있다는 전망도 나오고 있습니다. KBS 뉴스 정아연입니다. 정아연기자 (niche@kbs.co.kr) ▶ 네이버 채널 KBS뉴스 구독! 시원하게...
33,2018.08.08.,[국제유가] 美 이란 제재 개시 '상승'… ’WTI 69.17달러’,[뉴데일리-송승근 기자] 국제유가가 미국의 이란 제재 개시와 원유생산 전망치 하향조정 등의 영향으로 소폭 상승했다. 8일 한국석유공사에 따르면 7일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된...
34,2018.08.09.,"수출 위협하는 고유가·강달러, 이란發 경제충격 현실화되나",이란 제재의 시작으로 국제유가가 오름세를 타면 국내 물가를 올리고 소비를 위축시킬 수 있기 때문이다. 유가 오름이 지속될 경우 우리 기업의 생산비용 증가와 투자위축으로 이어져 수출에 악영향을 줄 가능성도 있다....
35,2018.08.08.,"국제유가, 미국 이란 제재에 상승",[뉴욕=뉴스핌] 김민정 특파원 = 국제유가가 7일(현지시간) 상승 마감했다. 미국의 이란 제재가 본격적으로 발효되면서 투자자들은 원유 공급에 대한 영향력에 주목했다. 원유 [사진= 로이터 뉴스핌] 뉴욕상업거래소...
36,2018.08.07.,"제주항공, 2Q 영업익 26.5% ↓…""유가 상승 영향""","제주항공 관계자는 ""지난해와 비교할 때 국제유가 등 원가상승 요인이 강했지만 상반기 기준으로 사상 최대 실적을 기록했다""면서 ""적극적이고 선제적인 투자, 단일기종 전략에 따른 고정비 절감효과 등 다른..."
37,2018.08.03.,"국제유가, 사흘 만에 반등…WTI 1.9%↑",국제유가는 2일(현지시간) 사흘 만에 반등했다. 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 전날보다 배럴당 1.9%(1.30달러) 오른 68.96달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
38,2018.08.09.,"국제유가 급락, 무역분쟁으로 원유수요 감소 가능성 부각",국제유가가 급락했다. 미국 중국 무역전쟁이 격렬해져 경기가 둔화돼 원유 수요가 감소할 가능성이 부각됐다. 8일 서부텍사스산원유(WTI) 가격은 뉴욕상업거래소에서 전날보다 배럴당 3.22%(2.23달러) 하락한 66....
39,2018.08.07.,"""국제유가, 이란 석유 겨냥 美 2차 제재 앞두고 변동성 커질 것""",[서울=뉴스핌] 이홍규 기자 = 미국의 대(對)이란 제재 조치 1차가 7일(현지시간) 발효한 가운데 오는 11월 초 이란의 석유를 겨냥한 2차 제재를 앞두고 국제 유가가 높은 변동성을 나타낼 것이라는 전망이 나왔다. 이날...
40,2018.08.02.,"국제유가, 재고 증가에 하락…WTI 1.6%↓",국제유가는 1일(현지시간) 이틀 연속 큰 폭의 하락세를 기록했다. 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 전날보다 배럴당 1.6%(1.10달러) 떨어진 67.66달러에 거래를 마쳤다....
41,2018.08.10.,무역갈등 지속 여파...국제 유가 & 美 정유주 또 하락,[초이스경제 이미애 기자] 9일(미국시각) 국제 유가가 전날에 이어 또 떨어졌다. 낙폭은 줄었다. 이날에도 미국-중국 간 무역갈등 등이 유가 하락요인으로 작용했다. 뉴욕상업거래소에 따르면 이날 9월 인도분...
42,2018.08.10.,[국제유가]美WTI ‘숨고르기’…이란 제재 vs 美·中 무역마찰,최근 미국과 중국 간 무역마찰이 심화한 가운데 미국의 대 이란 제재에 대한 우려가 유가의 추가 하락을... 계속해서 유가 안정에 일조하고 있다”고 평가했다. 다른 전문가는 “대 이란 제재에 따른 시장 영향은...
43,2018.08.07.,이란이 '호르무즈' 이야기만 꺼내도 유가가 오르는 이유는?,(사진=아시아경제DB) [ 미국의 대이란 제재가 재개되면서 국제유가가 벌써부터 심상치 않은 움직임을 보이고 있다. 세계 5위 산유국인 이란의 원유 수출 중단으로 인한 수급 우려와 함께 쟁점으로 떠오르고 있는 것은...
44,2018.08.09.,"[모닝브리핑] 키움증권, “국제유가 미중 무역분쟁 격화로 급락”",[서울경제] -키움증권은 중국이 미국산 디젤 등 석유제품에 대한 관세를 부과하기로 결정한 데 따라 수요 감소 우려로 3% 이상 큰 폭의 하락세를 보였다고 설명 -중국이 미국산 제품 160억달러 규모에 대해 관세 25...
45,2018.08.08.,"미국 에너지정보청 ""하반기 국제유가 오를 가능성 높다""",국제유가가 올해 하반기에 오를 것으로 전망됐다. 미국 에너지정보청은 8일 '8월 단기 에너지전망 보고서(STEO)'에서 올해 서부텍사스산 원유(WTI)의 평균가격 전망을 배럴당 65.95달러에서 66.21달러로 상향 조정했다....
46,2018.08.07.,'유가 폭등-이란 위기' 미국 제재 일파만파,국제 유가가 조만간 배럴당 90달러 선을 뚫고 오를 것이라는 전망과 함께 이란이 경기 침체에 빠질 것이라는 경고가 이어졌다. 이란 리알화(좌)와 달러화(우) [사진= 로이터 뉴스핌] 이란 통화 리알화가 폭락하는 가운데...
47,2018.08.03.,"국제 유가, 이란 해상훈련 영향으로 사흘만에 반등",2016.02.23 = 이란의 페르시아만 해상 훈련으로 중동 지역 긴장감이 고조되면서 국제유가가 사흘만에 반등했다. 2일(현지시간) 마켓워치에 따르면 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI)는...
48,2018.08.07.,지멘스·푸조 등 기업 50여곳 이란서 철수… 유가 들썩,국제유가는 6일 상승세로 전환했다. 아직 상승폭이 크지는 않지만 미 CNBC방송은 연말 국제유가가 90달러까지 오를 수 있다고 보도했다. 현재 국제유가는 유종에 따라 69∼73달러다. 하지만 국제사회의 반발로 이란...
49,2018.08.09.,"‘유가상승·에너지전환정책’에… 펄펄나는 가스공사, 발목 잡힌 한전","상반기 국제유가가 오르면서 호주 GLNG사업·미얀마 사업 등 해외 광구 수익이 크게 늘었고, 친환경발전으로 전환하는 국가 시책에 따라 발전용 및 도시가스용 판매물량이 크게 증가한 영향이다. 가스공사는 이번 정부..."
50,2018.08.03.,'유가·사드'에 발목···상반기 경상수지 흑자 6년 만에 '최소',"한은 관계자는 “경상수지 흑자 폭이 줄어든 것은 유가 상승 영향이 크다”며 “국제유가는 지난해 상반기보다 배럴당 16달러 올랐는데, 보통 유가가 10달러 오르면 연간 경상수지 흑자 규모가 80억달러..."
51,2018.08.07.,[국제유가] 사우디 감산·이란 제재 소식에 상승 마감,[한국경제TV 신선미 기자] 국제유가는 사우디아라비아가 예상과 달리 감산에 나섰다는 소식과 미국의 대이란 제재 부활로 상승 압력을 받았습니다. 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI)...
52,2018.08.07.,"부산시, 폭염 및 국제유가 상승 등 대응 물가안정 대책 추진.","[뉴스프리존ㆍ부산=김수만기자] 부산시는 7월 소비자물가가 전년 같은 달 대비 2.0%로 상승세가 지속하고 있고, 폭염 및 국제유가 상승 등의 영향으로 배추, 무 등 일부 농.수산물의 물가 불안이 가중되고 있으며, 특히..."
53,2018.08.07.,유가 오르고 비수기까지 겹쳐 항공사 2분기 실적 ‘동반 하락’,항공사들이 지난 2·4분기 매출 증가에도 영업이익이 감소한 것은 국제유가 상승으로 인한 유류비용 증가와 지난해 5월 황금연휴에 인한 기저효과 때문인 것으로 해석된다. 지난 6월 항공유 가격은 배럴당...
54,2018.08.08.,"7월 5주 국제 유가, 생산량 증가에 하락",한국석유공사 석유동향팀은 3일 ‘유가정보서비스 오피넷’을 통해 ‘2018년 7월 5주 주간국제유가동향’을 발표했다. 이에 따르면 대서양 유종인 브렌트(Brent)유는 전주보다 배럴당 1.09달러 하락한 73.45달러를...
55,2018.08.07.,[국제유가] 사우디 생산 감소 영향 상승… 'WTI 69.01달러',"[뉴데일리-송승근 기자] 국제유가가 사우디 원유 생산 감소, 이란 제재 본격화 등의 영향으로 상승했다. 7일 한국석유공사에 따르면 6일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유(WTI)는..."
56,2018.08.08.,고공비행 저비용항공사 유가상승에 비틀…목표주가 잇따라 하향,국제유가 상승과 춤추는 환율탓에 실적이 뒷걸음질 치면서다. 단기 악재로 인한 일시적인 후퇴인지 장기 성장동력에 경고등이 켜진 것인지 의견이 분분하다. 저비용항공사 대장격인 제주항공은 8일 오후 2시 현재...
57,2018.08.06.,유가 70弗시대… 살아나던 소비 꺾나,이는 올 들어 상승세를 보이는 국제유가 영향이다. 두바이유(기간말 기준)를 보면 지난해 12월 배럴당 63.77달러였던 것이 올해 1월 65.75달러로 올랐다. 이어 4월에 70달러를 돌파한 이후 지금까지 70달러 초중반대에서...
58,2018.08.09.,미-중 관세 충돌에...국제 유가도 곤두박질,[초이스경제 이미애 기자] 8일(미국시각) 국제 유가가 전날까지의 연일 상승세를 뒤로하고 폭락세로 돌아섰다. 미국-중국 간 무역관세 맞대응 부과 방침 속에 유가도 타격을 받았다. 뉴욕상업거래소에 따르면 이날...
59,2018.08.06.,"대신증권 ""국제유가 하락세, 해외 ETN 고수익 주목해야""","9%의 수익률을 기록했다""며 ""과거 국제유가 약세는 자원수출 비중이 높은 브라질 경제구조상 경기둔화 요인으로 작용하며 보베스파 지수의 하락요인으로 작용했지만 현재는 그렇지 않다""고 설명했다. 이어 그는 ""작년..."
60,2018.08.07.,"유가네닭갈비, 외식 프랜차이즈 시장 트렌드 변화 살펴야","명지국제신도시 유가네 점주는 “오픈 후 일 최고 매출 200만원을 달성하기도 했다”며 “유가네하면 맛이 보장된 브랜드이며, 요즘 사람들이 좋아하는 분위기와 편의성이 매장에 잘 표현돼 있다”고 말했다. 한편..."
61,2018.08.01.,"국제유가, 큰 폭 하락…WTI 70달러 밑으로",국제유가는 31일(현지시간) 크게 내렸다. 31일(현지시간) 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 전날보다 배럴당 2%(1.37달러) 떨어진 68.76달러에 거래를 마쳤다. 런던 ICE...
62,2018.08.10.,유가상승에도…상반기 건설수지 40억달러 그쳐,국제유가 오름폭이 컸던 것과 비교하면 건설수지 상승폭은 5년 전과 비교해 여전히 미미한 수준이다. 9일 한국은행 경제통계시스템에 따르면 올해 상반기(1~6월) 건설수지는 41억200만달러 흑자를 기록한 것으로...
63,2018.08.06.,"부활하는 對이란 제재에 불안해진 유가…""연말 90달러 갈수도""",미국이 대(對)이란 경제 제재에 나서면서 머지 않아 국제유가가 다시 배럴당 90달러 위까지 치솟을 것이라는 우려 섞인 전망이 나오고 있다. 중동발(發) 공급 쇼크가 재차 원유시장을 강타할 수 있을 전망이다. 6일...
64,2018.07.31.,"국제유가, 수급 우려에 급등세…WTI 70달러 회복",국제유가는 30일(현지시간) 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 전 거래일보다 배럴당 2.1%(1.44달러) 급등한 70.13달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
65,2018.08.08.,"美, 이란 경제제재 시동…국제유가 상승은 불가피?","이란을 달러체제에서 퇴출시키고, 원유수출을 막기위한 대이란 제재가 국제유가와 우리나라 경제에는 어떤 영향을 주는지 알아보겠습니다. 미국의 2차 중국 관세 부과 소식도 알아보겠습니다. Q. 미중간 무역전쟁이..."
66,2018.08.01.,트럼프의 對이란 대화제의에..국제유가↓,사진=AP연합 [뉴욕= 국제유가는 31일(현지시간) 급락했다. 도널드 트럼프(사진) 미국 대통령이 이란에 사실상의 정상회담을 제안하면서 원유 매도세가 이어진 탓이다. 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분...
67,2018.08.07.,[국제유가] WTI 0.8%↑…이란제재 복원 + 사우디 감산 소식,[국제유가] WTI 0.8%↑…이란제재 복원 + 사우디 감산 소식 국제유가는 6일(현지시간) 상승했다. 석유수출국기구(OPEC) 소식통에 따르면 사우디아라비아의 7월 산유량은 예상과 달리 감소한 것으로 나타났다. 미국이 주요...
68,2018.08.10.,"뉴욕증시, 미중 무역전쟁등 글로벌 정치불안 고조 다우 0.29% 하락 마감…국제...",국제유가도  미중 무역전쟁이 부각되면서 이틀째 하락세를 기록했다. 9일(미국시간) 뉴욕증권거래소(NYSE)에서 다우존스 30 산업평균지수는 전날대비 74.52포인트(0.29%) 하락한 2만5509.23에 거래를 마쳤다....
69,2018.08.08.,[데일리 Oil] 미 원유재고 감소 및 달러화 약세 등 국제 유가 상승,[산업일보] 미국 현지시간으로 7일 국제유가가 상승했다. 뉴욕상업거래소(NYMEX) 미국 서부텍사스산 원유(WTI)는 0.16달러 오른 69.17달러/bbl로 마감했으며 유럽거래소(ICE) 브렌트유는 0.9달러 오른 74.65달러/bbl를...
70,2018.07.26.,"유가·환율 상승, 공공요금 인상 '꿈틀'…""하반기 물가오름세 확대""",= 국제유가가 고공행진하고 있는 가운데 원·달러 환율 상승 흐름과 공공요금 인상 가능성 등으로 하반기 물가오름세가 확대될 것이라는 한국은행의 전망이 나왔다. 최근 폭염으로 외식 등을 포함한 '밥상물가'가 뛰고...
71,2018.08.07.,유가 상승 덕…원유 DLS 상환수익률 '주목',ⓒEBN [EBN 박소희 기자] 국제유가가 상승하면서 원유를 기초자산으로 한 파생결합증권(DLS)의 수익률이 상승하고 있다. 당분간 유가는 강세 기조를 이어갈 전망이어서 원유 DLS 투자는 확대될 것으로 보인다. 7일...
72,2018.07.24.,"유가 상승에 폭염, 공공요금까지 들썩…물가 흐름 심상찮다",농·축·수산물 가격 상승에 버스·택시·가스요금 인상 조짐 금리인상에 변수…'수요측 상승 압력 약해' 지적도 하반기 물가 더 뛴다(CG)[연합뉴스TV 제공] 국제유가 상승과 폭염에 공공요금 줄인상이 가세하면서 하반기...
73,2018.08.02.,"국제유가, 美 원유 생산 증가에 이틀째 급락",= 국제유가가 미국의 원유 공급량 급증 소식에 이틀째 하락했다. 1일(현지시간) 마켓워치에 따르면 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI)는 전일 대비 1.59%(1.10 달러) 하락한 배럴당...
74,2018.08.01.,1% 저물가 맞나?…폭염·유가상승에 장바구니 물가 '들썩'(종합),구윤성 기자 소비자물가가 10개월째 1%대에 머물며 저물가를 이어갔지만 국제유가 상승 여파와 폭염으로 인한 채소류 가격이 상승하며 장바구니 물가에 비상이 걸렸다. 1일 통계청이 발표한 '2018년 7월...
75,2018.07.31.,국제유가 공급 위축 우려에 급등…WTI 70달러 돌파,= 국제유가가 중동 지역 정세 불안에 따른 석유 공급 위축 우려에 급등세를 나타냈다. 30일(현지시간) 마켓워치와 CNBC에 따르면 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI)는 전일 대비 2.09...
76,2018.08.04.,"국제유가, 원유생산량 확대에 하락...WTI, 0.7%↓",국제 유가가 하락했다. 미국의 원유재고량 증가와 글로벌 원유생산량 증가가 유가를 압박했다. 3일(현지시간) 뉴욕상업거래소에서 9월분 서부텍사스산원유(WTI)는 전일대비 배럴당 47센트(0.7%) 하락한 68.49로...
77,2018.08.07.,"제주항공, 국제유가 상승 탓에 2분기 영업이익은 뒷걸음","제주항공이 국제유가 상승 등의 부담으로 2분기 수익이 뒷걸음질했다. 제주항공은 올해 2분기 연결기준으로 매출 2833억 원, 영업이익 116억 원, 순이익 168억 원을 거둔 것으로 7일 잠정집계했다고 밝혔다. 이석주..."
78,2018.08.03.,"국제유가, 미국 재고 감소 전환 기대에 상승","[뉴욕=뉴스핌] 김민정 특파원 = 국제유가가 2일(현지시간) 상승했다. 지난주까지 미국의 원유 재고가 증가했지만, 다시 재고가 감소세로 돌아설 것이라는 전망에 무게가 실려 유가 상승세를 부채질했다. 원유 배럴..."
79,2018.08.08.,"사우디, 이란 등 중동이슈에...국제 유가 또 상승","유가 앞날이 더 관심대상...미-중 무역갈등, 미-이란 핵갈등 영향 주목 [초이스경제 이미애 기자] 7일(미국시각) 국제 유가가 전날에 이어 또 올랐다. 이틀간 상승 이유는 같았다. 사우디의 7월 원유생산량 감소, 미국의..."
80,2018.08.06.,"종합상사, 2분기 실적순항…유가·환율 덕분",(서울=연합인포맥스) 이민재 기자 = 종합상사업계가 올해 2분기 국제유가 및 환율 상승에 힘입어 전년 대비 호실적을 달성했다. 6일 금융감독원 전자공시시스템에 따르면 포스코대우는 올해 2분기에 1천360억원의...
81,2018.07.27.,"국제유가, 사우디 원유수송 중단에 상승…WTI 0.4%↑",국제유가 상승(일러스트)아이클릭아트 그래픽 사용 국제유가는 26일(현지시간) 상승세를 이어갔다. 이날 뉴욕상업거래소(NYMEX)에서 9월 인도분 서부 텍사스산 원유(WTI) 가격은 전날보다 배럴당 0.4%(0.31달러) 오른...
