,날짜,제목,요약
10,2021.05.06.,"[원자재시황] 국제유가, 휘발유 재고 증가에 하락..WTI 0.1%↓",국제 유가는 원유재고가 감소했음에도 휘발유 재고가 예상 외로 증가했다는 소식에 하락했다. 5일(현지시간) 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전장보다 6센트(0.1%) 떨어진 배럴당 65.63달러에...
11,2021.05.04.,국제유가·농산물 값 고공행진...공급충격發 인플레 가시화되나,"석유류, 전년 동월 대비 13.4% 상승 국제유가 상승 지속세…물가 부담 가중 식료품 가격 급등…공급충격 인플레로 가계소비 위축 우려 국제 유가와 농축산물 상승으로 4월 소비자물가가 전년 동월 대비로 3년 8개월만에..."
12,2021.05.09.,[포토]국제유가 상승세 속 국내 기름값 4주 연속 보합,"국제유가 상승세 속에 전국 주유소 기름값이 4주 연속 보합세를 보인 15일 서울 시내의 한 주유소에서 휘발유가 리터당 1,519원에 경유가 1,319원에 판매되고 있다. 한국석유공사 유가정보서비스 오피넷에 따르면..."
13,2021.05.10.,"삼성엔지니어링, 유가상승 신호탄에 반등 기대감↑",국제유가 상승으로 석유 의존도가 높은 중동국가들의 여건이 개선되자 공사 재개는 물론 투자 규모가 증가하며 삼성엔지니어링도 반사이익을 거둔 것이다. 지난해 두바이 유는 연평균 42.3달러에 그쳤지만 최근...
14,2021.05.09.,[국제유가] 석유수요 회복 기대감 등에 7일 유가 상승,"중동산 Dubai유 등 국제유가의 일일 변동 현황 7일 국제유가는 달러 약세, 수요회복 기대감 등으로 상승한 가운데 인도 코로나19 확산 지속 등은 유가 상승폭을 제한시켰다. 한국석유공사(사장 양수영)는 서부..."
15,2021.05.10.,[국제유가] 미 달러화 하락으로 가격 상승,"7일 국제유가는 달러 약세, 수요 회복 기대감 등으로 상승했고 인도 코로나19 확산 지속 등은 상승폭을 제한했다. 한국석유공사 국제유가 동향에 따르면 브렌트는 전일대비 배럴당 0.19 달러 오른 68.28 달러, WTI는 0...."
16,2021.05.10.,유가ㆍ백신 타고 중동건설시장 해빙기 오나,국제유가 상승으로 억눌렸던 중동 시장에 대한 발주 기대감 커져 중동국 즉각적 물량 확대는 시기상조…PPP(투자개발형) 발주 증가 전망 국제유가의 반등과 코로나19 백신 보급 확대 등으로 중동 산유국들의...
17,2021.05.04.,"[원자재시황] 국제유가, 수요회복 기대감에 상승..WTI 1.4%↑",국제유가는 미국 여름 휴가 시즌을 앞두고 원유 수요가 회복될 것이라는 기대감에 상승했다. 3일(현지시간) 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전장보다 91센트(1.4%) 오른 배럴당 64.49달러에...
18,2021.05.08.,[국제유가]고용 쇼크가 약달러 불렀다…WTI 0.3%↑,국제유가가 반등했다. 7일(현지시간) 미국 뉴욕상업거래소에서 6월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 0.3% 오른 64.90달러에 마감했다. 이날 미국의 고용 지표 부진은 유가를 끌어올리는 재료로...
19,2021.05.06.,스멀스멀 인플레이션 공포…국제유가가 급등하고 있다,"이런 가운데 심상치 않은 국제유가 오름세가, 물가 상승을 더 부추길 것이란 분석이 나왔습니다. 장지현 기자가 보도합니다. [기자] 국제 유가는 지난 2017년 이후 가장 큰 폭으로 오르고 있습니다. 한때 배럴당..."
20,2021.05.07.,KDI “유가 70달러로 오르면 물가 0.8%P 뛰어”,신종 코로나바이러스 감염증(코로나19) 백신 보급과 세계 경기 회복에 대한 기대감 등으로 국제유가가 상승하는 가운데 유가 상승으로 올해 물가상승률이 최대 0.8%포인트 오를 것으로 전망됐다. 유가 인상과...
21,2021.05.08.,"국제유가, 고용충격發 달러 약세에 상승···WTI 0.3%↑",국제유가가 달러 약세에 힙입어 소폭 상승했다. 미국의 고용지표가 예상을 크게 밑도는 '쇼크' 수준으로 발표되면서 달러화가 하락했다. 원유 결제 통화인 미국 달러가 약세를 보일 경우 반대로 유가는 상승하는게...
22,2021.05.04.,"소비자물가 3년8개월 내 최고…""작황부진, 유가 상승 등 효과""",작황 부진으로 농축수산물 가격이 오르고 국제유가 상승 기조에 코로나19 기저효과까지 더해져 상승폭이 확대됐다. 통계청이 4일 발표한 소비자물가 동향을 보면 4월 소비자물가지수는 107.39(2015년=100)로 전년...
23,2021.05.08.,"OECD, 국제유가 인상 때문에 물가 급등세...2월 1.7%→3월 2.4%로","국제유가 인상 등 원자재 가격 상승으로 인해 경제협력개발기구, OECD 회원국들의 물가가 급등세를 보였습니다. OECD가 집계한 회원국들의 올해 3월 소비자물가지수(CPI)를 보면, 지난해 같은 달 보다 2.4% 올라, 지난..."
24,2021.05.04.,"이억원 1차관 ""4월 물가 2% 넘은 건 기저효과에 유가상승 탓""","이 차관은 특히 국제유가와 농축산물 가격이 지난해 이맘 때 크게 낮았던 점을 강조했다. 그는 ""작년 이 시기는 코로나19 충격으로 국제유가(두바이유)가 20달러대까지 급락하고, 채소 출하량 증가에 따라 농산물 가격이..."
25,2021.05.07.,"[국제유가] 인도발 수요 둔화 우려에 하락… WTI, 1.4%↓",국제유가는 인도에서 코로나19 확산세가 다시 거세지면서 약세를 보였다. 6일(현지시각) 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전 거래일 대비 92센트(1.4%) 하락한 배럴당 64.71달러에 마감했다. CNBC에...
26,2021.05.06.,"국제유가 상승세 주춤…WTI 65.63달러 마감, 0.09%↓","로이터=연합뉴스 국제유가가 5월 초 이틀간 거래에서 3% 이상 상승한 후 숨고르기에 들어갔다. 국제유가는 5일(현지시간) 전 거래일과 큰 변동 없이 마감됐다. 서부텍사스산 원유(WTI)는 소폭 하락했고, 브렌트유는..."
27,2021.05.05.,"‘유가·정제마진·제품가’ 상승세…정유업계, 올해 '흑자기조' 다진다",지난해 배럴당 40달러 수준이던 국제유가가 올 들어 60달러대까지 올라온데다 석유제품 수요도 거대 시장 미국을 중심으로 되살아나고 있어서다. 정유사들의 주요 수익지표인 정제마진도 최근 1년 만에 배럴당...
28,2021.05.05.,"유가·곡물·비철금속 가파른 상승…국금센터 ""강세흐름 유지""",김희진 국금센터 책임연구원은 글로벌 경기회복세가 강화되고 있는 상황에서 국제유가는 여름철 성수기 진입을 앞두고 상승세가 이어질 것으로 봤다. 국제유가가 고점에 도달하는 시점은 2~3분기 중이 될 것으로...
29,2021.05.08.,"뉴욕증시, 고용 부진에 안도 상승...국제유가, 달러 하락에 상승",국제유가는 글로벌 원유 수요가 회복될 것이라는 기대와 달러 약세 흐름에 상승했다. 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전장보다 19센트(0.3%) 오른 배럴당 64.90달러에 거래를 마쳤다. WTI...
30,2021.04.29.,[국제유가]원유 수요 회복 기대↑…WTI 6주래 최고치,국제유가가 배럴당 64달러에 육박할 정도로 상승했다. 28일(현지시간) 미국 뉴욕상업거래소에서 6월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 1.5% 오른 63.86달러에 거래를 마쳤다. 지난달 17일 배럴당 64....
31,2021.05.07.,[국제유가] 인도 코로나19 확산세 등에 6일 유가 하락,중동산 Dubai유 등 국제유가의 일일 변동 현황 6일 국제유가는 인도의 코로나19 확산세 심화 등으로 하락한 가운데 미 석유 수요 증가 전망 등은 유가 하락폭을 제한시켰다. 한국석유공사(사장 양수영)는 서부...
32,2021.05.08.,"국제유가 65~66달러 혼조…""코로나·석유수요 불안정 장기화""","국제 석유시장은 美 달러화 약세, 석유수요 회복 기대감, 인도 코로나 확산 등이 복합적으로 작용했다.... 9달러에, 중동산 두바이(Dubai) 유가는 1.27달러 하락한 65.9달러에 거래를 마쳤다. 런던선물거래소의 북해산..."
33,2021.05.07.,[국제유가]최악의 인도 팬데믹 현재진행형…WTI 1.4%↓,국제유가가 하락했다. 6일(현지시간) 미국 뉴욕상업거래소에서 6월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 1.4% 내린 64.71달러에 마감했다. 원유시장은 유가가 빠르게 오른데 따른 단기 조정 압력이 일부...
34,2021.05.03.,코로나·유가하락에 지난해 공기업 절반 적자,코로나19와 국제유가 하락 등으로 지난해 공기업 절반이 적자를 기록했다. 3일 공공기관 경영정보 공개시스템인 '알리오'를 보면 지난해 공기업 36곳 가운데 18곳이 적자를 기록한 것으로 확인됐다....
35,2021.04.30.,"국제유가, 미국 경제 회복세에 급등…WTI 1.94%↑","국제금값, 3거래일 연속 하락 국제유가가 원유 수요 확대에 대한 기대감으로 급등했다. 29일(현지시간) 뉴욕상품거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전날보다 1.15달러(1.94%) 오른 배럴당 65.01달러에..."
36,2021.05.08.,"""올해 국제유가 상승, 물가·경제성장률 끌어올릴 것""",/ 사진=연합뉴스  올해 국제유가 상승이 물가 상승률을 최대 0.8%p까지 높일 수 있다는 국책연구기관 분석이 나왔다. 한국개발연구원(KDI) 천소라 연구위원과 정규철 경제전망실장의 '최근 유가 상승의 국내 경제 파급효과...
37,2021.04.28.,"[원자재시황] 국제유가, OPEC+ 감산완화 유지에 ↑..금값은 0.1%↓",국제유가는 석유수출국기구(OPEC)와 러시아 등 비(非)OPEC 주요 산유국들의 협의체인 'OPEC 플러스'(OPEC+)가 감산 완화 방침을 유지하기로 한 가운데 상승했다. 27일(현지시간) 뉴욕상업거래소에서 6월물...
38,2021.05.02.,"포스코 10년, 국제유가 폭락에 울었고 원자재값 상승에 웃었다","인수 이후 국제유가가 폭락하면서 이른바 ‘고가·부실 인수’라는 비판을 받았지만, 최근에는 원자재 가격 상승 등을 근거로 ‘알짜 인수’라는 평가를 받는다. 실제 포스코는 이달 로이힐 광산 지분으로 약..."
39,2021.05.09.,"미국 뉴욕증시 '금리인상 가능성' 낮아져 상승, 국제유가도 올라",국제유가는 경제회복 낙관론과 이에 따른 원유수요 회복 기대감이 반영되며 올랐다. 7일 뉴욕상업거래소에서 6월 인도분 서부텍사스산원유(WTI) 가격은 전날보다 0.3%(0.19달러) 오른 배럴당 64.90달러에 거래를...
40,2021.05.07.,"국제유가, 美 휘발유 수요 둔화 우려에 혼조세…WTI 1.4%↓ [인더머니]",국제유가가 미국의 여름 휴가 시즌을 앞두고 휘발유 수요가 둔화하고 있다는 우려와 경기회복에 대한 기대감으로 혼조세를 나타냈다. 6일(현지시간) 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전날보다...
41,2021.05.05.,"뉴욕증시 3대 지수 금리인상 가능성에 기술주 하락, 국제유가는 상승",국제유가는 상승했다. 4일 뉴욕상업거래소(NYMEX)에서 6월 인도분 서부텍사스산 원유(WTI)는 전날보다 배럴당 1.86%(1.20달러) 오른 65.69달러에 거래를 마쳤다. 런던 ICE선물거래소의 7월물 브렌트유는 배럴당 2.61%(1....
42,2021.05.06.,"뉴욕증시, 다우 최고치로 마감...국제유가, 하락세",국제유가는 유가는 원유재고가 감소했음에도 휘발유 재고가 예상을 깨고 증가했다는 소식에 하락했다. 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전장보다 6센트(0.1%) 떨어진 배럴당 65.63달러에...
43,2021.05.07.,"[유가]WTI, 1%대 하락...수요 우려 지속",김나래 특파원=국제유가가 6일(현지시간) 혼조세로 잠정 집계됐다. 셰일유 생산시설 [사진=블룸버그] 이날 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전거래일 보다 0.79달러(1.20%) 떨어진 배럴당 64.84달러를...
44,2021.05.04.,4월 물가 전년대비 2.3% 상승…농축수산물 급등에 유가까지,작황 부진과 조류 인플루엔자 여파에 농축수산물 가격이 크게 오른 가운데 국제유가까지 영향을 미쳐 지난달 물가가 크게 올랐습니다. 통계청이 발표한 소비자물가 동향을 보면 4월 소비자물가지수는 107.39로...
45,2021.05.08.,美 고용지표 부진에도...WTI 등 국제유가 '소폭 상승',지난7일(이하 현지시간) 국제유가가 소폭 상승했다. 미국의 고용지표 부진에도 불구하고 경기회복세가 이어질 것이라는 기대감과 달러 약세가 국제유가 흐름에 영향을 미쳤다. 국제유가는 사흘 만에 오름세로...
46,2021.05.04.,"농축산물 · 유가 급등→물가 상승, 3년 8개월 만에 최대","농축산물 가격이 크게 올랐고, 국제 유가 상승이 영향을 줬습니다. 화강윤 기자가 전해드립니다. <기자> 지난 4월 소비자물가지수는 지난해 같은 달보다 2.3% 오른 것으로 나타났습니다. 2017년 8월 이후 3년 8개월 만에..."
47,2021.05.06.,[국제유가] 美 원유재고 감소 등에 5일 유가 상승·하락 혼조,"중동산 Dubai유 등 국제유가의 일일 변동 현황 5일 북해산 Brent유 기준 국제유가는 미국 재고 감소 등으로 소폭 상승한 가운데 인도 코로나19 확산세 지속, 차익실현 움직임 등은 유가 상승폭을 제한시키면서..."
48,2021.05.05.,"[유가]WTI, 2%대 상승…코로나 이동제한 완화",김나래 특파원=국제유가는 4일(현지시간) 혼조세를 보였다. 미국과 유럽이 코로나19 완화 제재를 완화하면서 투자심리에 긍정적으로 작용했다. 셰일유 생산시설 [사진=블룸버그] 이날 뉴욕상업거래소에서...
49,2021.05.07.,"국제유가 수요둔화 우려, WTI 1.4%↓…국제금값 1800달러 돌파",국제유가가 휘발유 수요가 둔화 우려에 하락 마감했다. 6일(현지시간) 뉴욕상업거래소에서 미국 서부텍사스원유(WTI) 6월 인도분 선물은 전장 대비 92센트(1.4%) 하락해 배럴당 64.71달러에 거래를 마쳤다....
50,2021.05.02.,‘코로나 직격탄’ 공기업 11곳 적자전환…국제유가·영업제한 여파,"지난해 코로나19로 영업에 차질을 빚거나 국제유가 하락으로 공기업 11곳이 적자로 돌아섰고, 4곳은 적자 폭이 확대됐다. 2일 공공기관 경영정보 공개시스템 알리오에 따르면 36개 공기업 중 11곳이 지난해..."
51,2021.05.05.,[국제유가]미국·유럽 여행 문 열린다…WTI 66달러 근접,국제유가가 이틀째 상승했다. 4일(현지시간) 미국 뉴욕상업거래소에서 6월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 1.9% 오른 65.69달러에 거래를 마쳤다. 지난 3월 11일(배럴당 66.02달러) 이후 거의 두 달...
52,2021.05.01.,[이번주 유가 동향]국내 휘발윳값 1534.0원…3주째 소폭 하락,(사진=연합뉴스)이번주(4월 26~29일) 국제유가의 경우 우리나라로 수입되는 원유 기준인 두바이유가 전주보다 0.3달러 내린 배럴당 63.6달러를 기록했다. 국제 유가 등락은 통상 2주여 후 국내 주유소 가격에...
53,2021.05.03.,印 수요 감소에 국제 유가 하락,"국제유가가 코로나19 2차 대유행으로 고전하고 있는 인도의 수요 감소에 소폭 하락했다. 3일 오전 기준 북해산 브렌트유는 전 거래일 대비 0.2%(15센트) 떨어진 배럴당 66.61달러, 미국 서부텍사스산원유(WTI) 또한 0.2..."
54,2021.05.06.,"KDI ""국제유가 상승으로 올해 물가 상승률 0.5~0.8%P 상승""","이투데이=세종=김지영 기자 | '최근 유가 상승의 국내 경제 파급효과' 보고서…""기저효과 해소되면 상승 압력 줄어들 것"" (자료=한국개발연구원(KDI)) 국제유가 상승에 따른 인플레이션 우려에 대해 한국개발연구원(KDI)은..."
55,2021.05.04.,국제유가 '80불' 전망도…에너지공기업들 적자 면할까,"지난해 6월 이후 배럴당 40달러대 수준에서 움직이던 국제유가가 올들어 60달러대까지 뛰면서다. 특히 발전사 실적에 가장 큰 영향을 주는 전력시장 도매가격, 즉 SMP(계통한계가격)이 오르고 있다. 앞서 5개..."
56,2021.05.07.,"뉴욕증시, 4월 고용 지표 앞두고 강세...국제유가는 하락",76포인트(3.97%) 하락한 18.39를 기록했다. 국제유가는 하락했다. 이날 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전장보다 0.92달러(1.40%) 떨어진 배럴당 64.71달러에 거래를 마쳤다.
57,2021.04.27.,"[원자재시황] 국제유가, 코로나19 확산 우려에 하락..WTI 0.4%↓",국제유가는 인도발 코로나19 확산 우려로 원유 수요가 줄어들 것으로 전망돼 하락했다. 26일(현지시간) 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전 거래일보다 23센트(0.4%) 하락한 배럴당 61.91달러에...
58,2021.05.04.,[국제유가]예상보다 가파른 경기 회복…WTI 1.4%↑,"국제유가가 다시 반등했다. 3일(현지시간) 미국 뉴욕상업거래소에서 6월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 1.4% 오른 64.49달러에 거래를 마쳤다. 전거래일 하락 전환했다가, 다시 상승으로 돌아선..."
59,2021.05.08.,"[속보] 국제유가, 상승 마감···WTI 0.3%↑",국제유가가 상승 마감했다. 7일(현지시간) 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전 거래일 대비 0.19달러(0.3%) 오른 배럴당 64.90달러에 거래를 마쳤다. WTI 가격은 이번 주 들어 2.1% 상승했다....
60,2021.04.30.,[국제유가]가파른 미국 경제 성장세…WTI 사흘째 상승,국제유가가 3거래일 연속 상승했다. 29일(현지시간) 미국 뉴욕상업거래소에서 6월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 1.8% 오른 65.01달러에 거래를 마쳤다. 지난달 15일(배럴당 65.39달러) 이후...
61,2021.05.04.,[국제유가] 코로나 백신 접종 확대 등에 3일 유가 상승,중동산 Dubai유 등 국제유가의 일일 변동 현황 3일 국제유가는 선진국의 코로나 백신 접종 확대 등으로 상승한 가운데 인도의 코로나19 확산에 따른 석유수요 감소 현실화 등은 유가 상승폭을 제한시켰다....
62,2021.05.04.,"[국제유가] 미국·유럽 경제 회복 기대감에 상승… WTI, 1.4%↑",국제유가는 미국에 이어 유럽도 경제 회복세가 이어질 것이라는 기대감에 상승했다. 3일(현지시각) 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전 거래일 대비 91센트(1.4%) 오른 배럴당 64.49달러에...
63,2021.05.06.,"인도·증산 악재에도 치솟는 국제유가…""올 여름 80달러 간다""","브렌트유 선물 가격, 올해 33.38% 상승 골드만삭스 ""미국 수요 증가에 오름세"" 헤지펀드 '원유 매수' 늘려…6주만 최고 정혜인 기자 ajuchi@ajunews.com 선진국 중심의 경제활동 재개로 원자재 가격이 치솟는 가운데 국제유가..."
64,2021.05.07.,"국제유가 하락, 인도 포함 일부 국가 코로나19 확산에 영향받아",국제유가가 하락했다. 6일 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전날보다 1.4% 하락한 배럴당 64.71달러에 거래를 마쳤다. 6일 국제유가가 하락해 마감했다. 런던 ICE선물거래소의 7월물 브렌트유...
65,2021.05.03.,유가 뛰자 중동이 바빠졌다… 한국 1분기 수주 4조 육박,1년 전 배럴당 25달러 선이던 국제유가는 현재 65달러까지 치솟았다. 이에 따라 글로벌 기관들도 중동 건설시장에 대한 전망치를 잇따라 높이고 있다. 글로벌 시장조사기관 ‘IHS 마킷’은 올해 중동 건설시장 규모가...
66,2021.05.08.,"국제유가, 중국 경제 지표 개선에 상승…WTI, 이번 주 2.1% 상승 마감",러빙턴/AP뉴시스국제유가가 7일(현지시간) 중국의 경제 지표 개선에 따라 상승했다. 이날 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전장보다 19센트(0.3%) 오른 배럴당 64.90달러에 거래를 마쳤다. 런던ICE...
67,2021.05.04.,"정부 계란 추가수입 추진, 원자재 할인 방출…유가급등도 대비","이 차관은 ""주요 작물 수확기 도래, 산란계 수 회복 등에 따른 농축산물 가격 안정 예상, 국제유가 안정적 전망, 3분기부터는 기저효과가 완화되는 점 등을 감안할 때, 연간 기준으로는 물가안정목표인 2%를 상회할 가능성은..."
68,2021.05.07.,6일 국제유가 하락,"59달러 하락한 배럴당 67.17달러에 거래를 마쳤다. 한국석유공사는 6일 국제유가는 인도의 코로나19 확산세 심화 등으로 하락했고, 미 석유 수요 증가 전망은 하락폭을 제한했다고 전했다."
69,2021.05.04.,"국제유가 1% 넘게 상승…WTI 배럴당 64.49달러 마감, 1.43%↑ ",로이터=연합뉴스 국제유가가 5월 첫 거래일인 3일(현지시간) 1% 넘게 상승하며 마감됐다. 이날 유가는 전 세계적인 수요 확대 기대감에 상승 탄력을 받았다. 로이터통신에 따르면 미국에서 백신 접종률이 지속적으로...
70,2021.04.27.,"수출 반등에 '보복 소비' 폭발, 경기회복 지속될까…유가 상승·반도체 사태 ...",1분기 GDP 1.6%…코로나 이전 수준 회복 민간 소비 증가세 전환이 성장률 견인…내수 성장기여도 확대 국제유가 상승·차량용 반도체 수급난은 하방요인 올해 1분기 국내총생산(GDP) 성장률이 전기대비 1.6%에 이르며 신종...
71,2021.05.06.,"국제유가 방향 못 잡아, 원유수요 감소 가능성과 경기회복 전망 섞여",국제유가가 방향을 잡지 못했다. 5일 뉴욕상업거래소에서 6월물 인도분 서부텍사스산원유(WTI)는 전날보다 배럴당 0.09%(0.06달러) 내린 65.63달러에 거래를 마쳤다. 5일 국제유가가 방향을 잡지 못했다. 반면...
72,2021.05.05.,"국제유가, 미 유럽 거리제한 완화로 상승...WTI, 2% 오르며 65달러 돌파",국제유가는 미국과 유럽의 이동거리 제한 완화 조치 영향으로 상승 마감했다. 국제유가는 4일(현지시간) 미국과 유럽에서의 거리제한 완환 조치 영향으로 WTI가 65달러를 돌파했다.출처=로이터통신 4일(현지시간)...
73,2021.05.02.,"휘발유·경유 가격, 3주 연속 소폭하락...국제유가는 '보합세'",특히 국내 휘발유 가격은 지난해 11월부터 국제유가 상승에 따라 연속 상승세를 보이다 최근 주간 상승폭이 낮아진 끝에 3주 연속 소폭 하락세로 전환했다. 지역별로는 ℓ당 0.5원 내린 제주가 1619.4원으로 가장...
74,2021.05.01.,[국제유가]최악의 인도 팬데믹 어쩌나…WTI 2.2% 하락,"국제유가가 4거래일 만에 하락했다. 30일(현지시간) 미국 뉴욕상업거래소에서 6월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 2.2% 내린 63.58달러에 거래를 마쳤다. 지난 3거래일 연속 상승했다가, 이날..."
75,2021.04.27.,[국제유가]최악의 인도 팬데믹…WTI 또 0.4% 내려,(사진=로이터/연합뉴스 제공) 국제유가가 하락했다. 26일(현지시간) 미국 뉴욕상업거래소에서 6월 인도분 서부텍사스산원유(WTI)는 전거래일 대비 배럴당 0.4% 내린 61.91달러에 거래를 마쳤다. 최근 원유시장은 인도의...
76,2021.04.27.,"국제유가, 코로나 재확산에 수급우려로 하락...WTI 0.37%↓ 브렌트 0.7%↓",국제 유가는 26일(현지시간) 인도 등 아시아 원유 수입국에서 코로나19 재확산으로 에너지 수요가 감소한다는 우려에 하락 마감했다. 뉴욕상업거래소(NYMEX)에서 이날 미국 서부 텍사스산 원유(WTI) 6월 인도분은...
77,2021.05.04.,"국제유가, 수요회복 기대 상승 WTI 1.4%↑…국제금값도 반등",사진 네이버 증권정보 국제유가가 미국과 중국의 원유 수요 회복 기대감에 1% 넘게 올랐다. 3일(현지시간) 뉴욕상업거래소에서 미국 서부텍사스원유(WTI) 6월 인도분 선물은 전장 대비 91센트(1.4%) 올라 배럴당 64....
78,2021.05.04.,유가 상승에 정제마진 3달러 돌파… 정유4사 벌써 1조 흑자,"지난해 4분기 40달러대에 머무르던 국제유가는 올해들어 급격히 상승해 60달러대를 돌파했다. 보통 유가가 상승하면 이익이 발생하고, 하락하면 손실이 난다. 유가 상승으로 재고평가 이익이 발생하며 흑자전환을 이끈..."
79,2021.05.01.,[유가] 국제유가 코로나19 상황 악화에 하락 마감,김나래 특파원=국제유가가 30일(현지시간) 일제히 하락했다. 인도의 코로나19 상황 악화와 중국 지표 부진으로 수요 전망 우려가 제기됐기 때문이다. 미국 셰일오일 생산 중심지인 텍사스 퍼미안 분지의 원유 펌프...
80,2021.05.04.,"뉴욕증시, 5월 첫 거래일 혼조...국제유가, 원유 수요 회복 기대에 상승",국제유가는 미국의 여름 휴가 시즌을 앞두고 원유 수요가 회복될 것이라는 기대에 올랐다. 뉴욕상업거래소에서 6월물 서부텍사스산원유(WTI) 가격은 전장보다 91센트(1.4%) 오른 배럴당 64.49달러에 거래를 마쳤다....
81,2021.05.01.,"글로벌 석유메이저들, 유가 반등 힘입어 1분기 흑자 행진","월스트리트저널(WSJ)에 따르면 국제 유가가 지난 6개월 동안 거의 80% 가까이 오르면서 엑손모빌과 셰브런, 셸의 합산 주가도 같은 기간 65% 급등했다. 대런 우즈 엑손모빌 최고경영자(CEO)는 WSJ과의 인터뷰에서 ""언젠간..."
