,날짜,제목,요약
13,2017.07.10.,(연결고리)국제유가 하락 재개와 소비재,"연결고리#1 출연: 허준식 해설위원   10일 연결고리에서는 국제유가 하락 재개와 소비재를 조명했다. 주말 유가 하락과 관련해 국내증시에선 소비재 주 선전 가능성과 제약바이오 반등, 항공주, 배터리 관련주가..."
14,2017.07.06.,"국제유가, 공급과잉 우려에 반락 …WTI 4%대 급락",미국 노스다코타 주에 있는 오일채굴장치(자료사진) 국제유가가 5일(현지시간) 4% 안팎 급락했다. 약 한 달 만의 최대 하락폭이다. 이날 미국 뉴욕상업거래소(NYMEX)에서 서부텍사스산 원유(WTI) 8월 인도분은...
15,2017.07.07.,"국제유가, 美 원유재고 감소에 상승… WTI 0.9%↑",국제유가 [PG] 국제유가가 6일(현지시간) 미국의 원유재고 감소 소식에 올랐다. 이날 미국 뉴욕상업거래소(NYMEX)에서 서부텍사스산 원유(WTI) 8월 인도분은 전날보다 0.39달러(0.9%) 상승한 배럴당 45.52달러에 거래를...
16,2017.07.10.,[특징주]항공주↑·정유주↓…유가 또 45달러 깨져,"<아이뉴스24> [아이뉴스24 김다운기자] 국제유가가 급락세를 보이면서 반사이익이 기대되는 항공주가 강세를 보이는 반면, 정유주는 하락하고 있다. 10일 오전 9시38분 현재 아시아나항공은 전 거래일 대비 2.08..."
17,2017.07.06.,국제유가 하락 했지만 시중 주유소 제자리,= 서부텍사스산원유(WTI) 가격이 배럴 당 45.13달러로 하락하는 등 국제유가가 하락하고 있지만 시중 곳곳의 주유소 휘발윳값은 제자리 걸음을 하고 있다. 6일 오후 서울 도심의 한 주유소 가격표에는...
18,2017.07.10.,"한은 ""국제유가 변동성 이어질듯…공급과잉 우려""","한은 ""국제유가 변동성 이어질듯…공급과잉 우려"" 최근 국제유가가 약세를 보이는 가운데 올해 하반기에도 원유 공급과잉 우려가 지속될 것이라는 전망이 나왔습니다. 한국은행은 '2017년 상반기 국제원자재시장..."
19,2017.07.10.,"국제유가 하락, 미국 시추 재증가·러시아 감산참여 불투명…나프타 하락",[자료=한국석유공사] [EBN 윤병효 기자]국제유가가 미국 시추기 수의 재 증가와 러시아의 원유 감산 연장 참여 불투명으로 하락했다. 10일 한국석유공사에 따르면 7월 첫째주(30~7일) 미국 서부텍사스산원유(WTI)...
20,2017.07.10.,"""멈추어 다오!""…추락하는 국제유가, 속타는 정유업계",재고평가·정제마진 감소 불가피…2분기 순이익 급감 전망 최근 국제유가가 배럴당 45달러선을 밑도는 등 약세를 거듭하면서 올해 1분기 최대 실적을 거뒀던 정유업계의 걱정도 커지고 있다. 저유가 기조가 수익에...
21,2017.07.09.,"""국제유가 110달러"" vs ""美셰일…내년까지 공급과잉""","지정학적 리스크로 인해 국제유가가 배럴당 110달러대로 다시 치솟을 것이란 전망이 나왔다. 알리안츠 글로벌 인베스터의 닐 드웨인 글로벌 전략가는 최근 CNBC와의 인터뷰에서 ""원유의 생산 공급망이 위협받고 있다..."
22,2017.07.07.,국제유가 상승…美 원유재고 5주 만에 최대 감소폭,© AFP=뉴스1 美 산유량 증가로 장중 상승분 대부분 반납 국제유가가 상승했다. 미국의 지난주 원유 재고가 5주 만에 가장 큰 감소폭을 나타냈다. 다만 미국의 주간 산유량이 증가한 점이 악재로 작용해 장중...
23,2017.07.08.,"국제유가, 美 생산량·채굴기수 증가에 급락...WTI, 2.8%↓",국제유가가 급락했다. 미국의 주간 원유생산량과 원유채굴기수 증가가 글로벌 원유공급과잉에 대한 우려를 높이면서다. 7일(현지시간) 뉴욕상업거래소에서 8월분 서부텍사스산원유(WTI)는 전일대비 배럴당 1....
24,2017.07.08.,"""국제유가 110불 간다"" vs ""당장 100만배럴 넘쳐 문제""","미국 노스다코타주의 한 유정© AFP=뉴스1 ""원유 과잉공급 지속 불구 지정학적 위험에 취약"" 지정학적 리스크로 인해 국제유가가 배럴당 110달러대로 다시 치솟을 것이란 전망이 나왔다. 알리안츠 글로벌 인베스터의..."
25,2017.07.07.,"국제 유가, 미국 원유재고 감소에 반등···WTI 0.86%↑ 브렌트유 0.67%↑",【뉴욕=AP·신화/뉴시스】 이재준 기자 = 국제 유가는 6일(현지시간) 미국 원유 재고량 감소와 달러 약세를 호재로 반등했다. 뉴욕상업거래소(NYMEX)에서 이날 서부텍사스산 원유(WTI) 8월 인도분은 전날보다 0.39달러...
26,2017.07.10.,"7일 국제 유가, 시추기 수 증가·유가 약세 전망 등에 하락","한국석유곻사는 7일 국제 유가가 미국 원유 시추기 수 증가, 투자은행의 유가 약세 전망, 미국 달러화 강세 등으로 하락했고, 러시아의 추가 감산 참여 가능성 등은 하락폭을 제한했다고 전했다.   Baker..."
27,2017.07.06.,[뉴욕증시] 국제유가 급락… 다우 0.01%↓,/자료사진=이미지투데이 뉴욕증시에서 국제유가 급락으로 에너지주가 큰 폭으로 하락한 가운데 주요 지수는 혼조세를 보였다. 5일(현지시간) 미국 뉴욕증권거래소(NYSE)에서 우량주 중심의...
28,2017.07.08.,"국제유가, 미 채굴장비 증가에 하락",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 7일(현지시간) 하락 마감했다. 미국의 채굴장비가 다시 증가세를 보이고 원유 생산도 늘면서 유가는 하락 압력을 받았다. <사진=블룸버그> 뉴욕상업거래소(NYMEX)에서...
29,2017.07.06.,"뉴욕증시, 다우 0.01％↓..국제유가 급락 속 혼조 마감",뉴욕증시 다우 0.01%↓ (사진=DB) 뉴욕증시에서 다우 지수가 0.01%↓ 하락했다. 5일(미국시간) 뉴욕증권거래소(NYSE)에서 다우존스 30 산업평균지수는 전장보다 1.1포인트(0.01%) 하락한 2만1478.17에 거래를 마쳤다....
30,2017.07.04.,국제유가 5일째 상승…브렌트유 50달러선 회복 눈앞,"금값, 7주만에 최저치 하락 국제유가 PG 국제유가가 3일(현지시간) 5거래일 연속 상승했다. 미국 뉴욕상업거래소(NYMEX)에서 서부텍사스산 원유(WTI) 8월 인도분은 전거래일보다 0.71달러(1.54%) 오른 배럴당 46...."
31,2017.07.04.,"경제동향간담회 ""긴축·저유가 위험 대비해야"" 한목소리","그러나 국제유가 움직임, 선진국의 통화정책 정상화에 따른 신흥국 경제 불안은 하방 리스크로 꼽혔다. 이 총재는 간담회에 앞서 지난주 국제결제은행(BIS) 중앙은행 총재 회의, 유럽중앙은행(ECB) 포럼에서 논의됐던..."
32,2017.07.04.,OPEC 6월 산유량 올들어 최고…시장에선 유가전망 엇갈려,"시장에서는 올 하반기 국제유가의 향방을 놓고 추가 하락론과 상승론이 혼재해 있다. 국제유가 (PG)[제작 조혜인] 일러스트 4일 블룸버그 통신이 애널리스트 설문과 석유업체, 선적 데이터를 바탕으로 집계한 결과 OPEC..."
33,2017.07.06.,"국제유가, 러시아 추가감산 반대에 '하락'",= 국제유가가 미국의 원유재고물량이 큰 폭으로 줄었다는 소식에 러시아발 악재를 딛고 낙폭을 일부 만회했다. 5일(현지시간) 블룸버그통신에 따르면 미국산 서부텍사스유(WTI) 8월 인도물은 이날...
34,2017.07.04.,"국제유가, 올들어 최장기 랠리···WTI 배럴당 47.07달러",= 국제유가가 올 들어 최장기 상승세를 유지하고 있다. 미국에서 가동 중인 원유 채굴 장비수가 감소하면서 원유생산이 감소할 것이라는 기대가 유가를 밀어올렸다. 3일(현지시간) 미국의 블룸버그통신에 따르면...
35,2017.07.04.,"[종합] ""韓경제 하반기에도 회복세 이어질 것···유가는 불안요인""",다만 국제유가 움직임과 선진국 통화정책 정상화에 따른 신흥국 경제불안 가능성이 불안 요인으로 작용할 수 있다고 내다봤다. 한국은행은 4일 이주열 한은 총재 주재로 열린 경제동향간담회 이후 논의내용 브리핑을...
36,2017.07.01.,"산업부 ""하반기 유가 배럴당 50달러 전망""",올해 하반기 국제 유가는 배럴당 50달러 안팎을 유지할 것으로 산업통상자원부가 1일 전망했다. 산업부는 이날 '국제 유가 동향 및 2017년 하반기 전망'에서 올해 하반기 석유 수요 증가에 따른 수급 균형 회복으로...
37,2017.07.07.,"국제유가, 美원유재고량 대폭 감소에 소폭 상승",유가가 소폭 상승했다. 미국의 주간 원유재고량이 5주내 최대폭으로 감소하면서다. 하지만 미국의 원유생산량은 증가하면서 유가는 장 초반 상승분을 대부분 반납했다. 6일(현지시간) 뉴욕상업거래소에서...
38,2017.07.05.,"국제금융센터 ""올 연말 국제유가(WTI) 56달러 예상""","""주요국 인플레 지표 둔화···하반기 세계경제 성장세 약화될 것"" = 국제금융센터는 5일 최근 국내 경제의 최대 변수로 떠오른 국제유가와 관련, 올해 연말 56달러(WTI 기준)까지 반등할 것이라고 전망했다...."
39,2017.07.06.,"유가에 미끄러진 롯데케미칼, 타이탄 상장이 날개될까",국제유가와 제품가격 하락으로 실적이 악화되고 있어서다. 6일에도 롯데케미칼 주가는 유가 하락에 0.71% 내린 34만7500원에 거래됐다. 그러나 11일 롯데케미칼 자회사 LC타이탄의 말레이시아 증시 상장 등을 계기로...
40,2017.07.02.,"한은 ""하반기 국제유가 불확실성 매우 높아""",하반기 보호무역주의와 미국 연준 금리인상 등을 하방리스크로 꼽으면서 세계 경제에 최대 변수로 떠오른 국제유가는 불확실성이 매우 높다며 불안정한 가격 움직임이 이어질 것이라고 전망했다. 한국은행은 2일...
41,2017.07.06.,트럼프 한마디에 국제유가도 출렁~,"‘미국 기름값이 더욱 떨어져야 한다’는 주장을 펴자마자, 국제유가가 곤두박질했다. 국제 유가는 5일(현지시간) 4% 이상 급락했다. 이는 최근 1개월 동안 가장 큰 하락 폭이다. 이날 뉴욕상업거래소(NYMEX)에서..."
42,2017.07.06.,"[국제유가] 러시아, 추가 감산 반대 소식… WTI 4%↓",본문 이미지 영역 국제유가 전망. /사진=머니투데이 DB 국제유가가 러시아의 추가 감산 반대 소식에 급락했다. 석유수출국기구(OPEC)의 원유 수출 증가와 달러화 강세도 유가에 부담으로 작용했다. 5일(현지시간)...
43,2017.07.06.,[특징주] 다시 떨어진 국제유가에 정유주 약세,국제유가가 최근 회복세를 잃고 급락하자 우리 증시에서 정유주가 약세를 보이고 있다. 6일 오전 9시 30분 현재 유가증권시장에서 SK이노베이션은 전날보다 1.88% 떨어진 15만7천원에 거래 중이다 GS는 1.75...
44,2017.07.06.,국제유가 4% 급락에 정유3社 주가 `직격탄`,"국제유가가 밤새 4% 안팎 급락하면서 국내 정유 3사 주가도 일제히 추락했다. 6일 한국거래소에 따르면 SK이노베이션과 에쓰오일, GS 주가는 개장과 동시에 각각 전일 대비 2.81%, 1.45%, 2.19% 하락했다. 이후 주가..."
45,2017.07.02.,"""세계경제 저성장 탈피, 美 트럼프 정책·유가에 달렸다""","한은 보고서…""신흥국 자본유출 압력, 상당기간 잠재 가능성"" 미국 트럼프 정부의 정책과 국제유가 향방이 세계 경제의 커다란 불안 요인이라는 한국은행의 분석이 나왔다. 한국은행은 2일 해외경제포커스에 실린 '2017..."
46,2017.07.04.,[특징주] 유가 오름세에 항공주 동반 약세(종합),국제유가가 연일 오르면서 4일 항공주가 동반 약세를 보였다. 이날 유가증권시장에서 아시아나항공은 전 거래일보다 6.23% 하락한 5천720원에 거래를 마쳤다. 장중 5천670원까지 떨어지기도 했다. 거래량은 전날...
47,2017.07.06.,[국제유가] 러시아 감산 연장 불참 가능성에 하락 'WTI 45.13달러',[뉴데일리-조재범 기자] 국제유가가 러시아의 감산 연장 불참 가능성에 하락했다. 6일 한국석유공사에 따르면 5일(현지시간) 뉴욕상업거래소(NYMEX)의 미국 서부텍사스산원유(WTI) 가격은 전일대비 1.94 달러 하락한...
48,2017.07.01.,"국제유가, 中 제조업 호조에 상승…WTI 상반기 14%↓",국제유가가 30일(현지시간) 4거래일 연속 상승했다. 미국 뉴욕상업거래소(NYMEX)에서 서부텍사스산 원유(WTI) 8월 인도분은 전날보다 1.11달러(2.5%) 오른 배럴당 46.04달러에 거래를 마쳤다. 이번 주 7% 오른 WTI는 7주...
49,2017.07.08.,"유가 하락, WTI 46.71달러…美 원유 시추기 증가 영향","자료=한국석유공사 [EBN 손병문 기자]국제 유가가 하락했다. 미국 내 원유 시추기 수 증가, 투자은행의 유가 약세 전망, 달러화 강세 등이 석유시장에 영향을 끼쳤다. 반면 러시아의 추가 감산 참여 가능성은 유가..."
50,2017.07.06.,유가 상승-여행수지 적자 증가 영향… 5월 경상수지 흑자 43% 감소,"국제 유가 상승으로 수입 금액이 늘었고, 중국인 관광객이 줄어 여행수지 적자폭이 크게 늘어난 게 원인으로 분석됐다. 5일 한국은행이 발표한 국제수지 통계에 따르면 5월 경상수지 흑자 규모는 59억4000만 달러..."
51,2017.07.05.,5월 경상흑자 59.4억달러로 축소…유가 상승 여행수지 악화가 영향,"국제유가 상승, 수입 증가 등으로 상품수지가 축소됐고 여행수지가 악화된 영향으로 분석된다. 한국은행이 5일 발표한 '2017년 5월 국제수지(잠정)'에 따르면 지난 5월 상품과 서비스 등을 포함한 경상수지..."
52,2017.07.06.,국제유가 4% 급락..러시아 “추가 감산 반대”,[뉴욕= 완연한 반등세를 보이던 국제유가가 다시 급락했다. 5일 뉴욕상업거래소에서 서부 텍사스산 원유(WTI) 8월물은 배럴당 1.94달러(4.1%) 하락한 45.13달러에 장을 마감했다. 한달 만에 최대 하락폭이다. 유가는 8거래일...
53,2017.07.06.,"뉴욕증시, 유가에 울고 기술주에 웃고…나스닥 상승마감",국제유가가 급락하며 에너지주는 하락했다. 여파로 다우존스 산업평균은 약보합에 장을 마쳤다. 반면 기술주들이 그동안의 부진에서 벗어나 반등했고 나스닥 상승을 이끌었다. 5일(현지시각) 우량주 중심의...
54,2017.07.05.,한국號 올 3% 성장 가능?… 국제유가 안정화에 달렸다,"[동아일보] 수출 회복-설비투자 증가 반영 영국계 투자은행 바클레이스 등 2%중반서 2.9%로 전망치 상향 국제유가, 美셰일가스탓 하락세 신흥국 경제 악영향→ 수출 타격 우려… 가계부채 따른 소비위축도 변수 당초..."
55,2017.07.04.,"""저유가는 수요 아닌 공급문제…OPEC은 영향력 없어""",이날 국제 유가는 5년 만에 최장 기간 랠리를 이어가며 8일째 상승했다. 미국 서부텍사스원유(WTI) 선물은 2.2% 오른 47.07달러로 마감했다. WTI는 지난달 21일 배럴당 42.05달러까지 밀리며 지난해 11월 수준까지 떨어진 바...
56,2017.07.06.,"[특징주]정유株, 국제유가 급락에 '약세'",정유주가 국제유가의 급락 소식에 하락세다. 6일 오전 9시23분 현재 SK이노베이션은 전날보다 4000원(2.50%) 내린 15만6000원에 거래되고 있다. GS와 S-Oil도 1~2%대 약세다. 국제유가는 러시아가 추가 감산에...
57,2017.07.05.,[국제유가] OPEC 수출 증가 소식에 하락…'Brent유 49.61달러',[뉴데일리-조재범 기자] 국제유가가 OPEC(석유수출국기구) 원유 수출량 증가 소식에 하락했다. 5일 한국석유공사에 따르면 4일(현지시간) 뉴욕상업거래소(NYMEX)의 미국 서부텍사스산원유(WTI) 가격은 독립기념일로...
58,2017.06.29.,"국제유가, 美생산량 감소에 연이틀 반등…WTI 1.1%↑",국제유가 반등 (PG)[제작 조혜인] 일러스트 미국 텍사스 주의 원유채굴장치 국제유가가 이틀 연속으로 반등했다. 28일(현지시간) 미국 뉴욕상업거래소(NYMEX)에서 서부텍사스산 원유(WTI) 8월 인도분은 전날보다 0....
59,2017.07.04.,[국제유가] 美 원유 생산량 감소에 상승 'WTI 47.07달러',[뉴데일리-조재범 기자] 국제유가가 미국 원유 생산량 감소 조정에 상승했다. 4일 한국석유공사에 따르면 3일(현지시간) 뉴욕상업거래소(NYMEX)의 미국 서부텍사스산원유(WTI) 가격은 전일대비 1.03 달러 상승한 47.07...
60,2017.06.30.,"국제유가, 사흘 연속 상승…WTI, 45달러선 근접",국제유가 상승 (PG)[제작 조혜인] 일러스트 정유시설 [AFP=연합뉴스 자료사진] 국제유가가 사흘째 상승했다. 29일(현지시간) 미국 뉴욕상업거래소(NYMEX)에서 서부텍사스산 원유(WTI) 8월 인도분은 전날보다 0.19달러...
61,2017.07.04.,"""국제유가 안정 등 대외경제 우호적""…경제성장률 3%대 회복할까?","""국제유가 안정 등 대외경제 우호적""…경제성장률 3%대 회복할까? 수출과 설비투자 증가 영향으로 올해 경기가 예상보다 좋아질 것으로 보고 경제성장률 전망치를 높여 잡는 움직임이 확산되고 있습니다. 2분기..."
62,2017.07.05.,[국제유가] 미국 독립기념일로 증시 휴장… WTI ‘보합’,본문 이미지 영역 국제유가 전망. /사진=머니투데이 DB 미국이 독립기념일을 맞아 휴장한 가운데 국제유가도 보합권에서 장을 마쳤다. 4일(현지시간) 뉴욕상업거래소(NYMEX)에서 서부텍사스산원유(WTI)는 전...
63,2017.07.06.,"국제유가, 이달들어 최대 낙폭… WTI, 4.1%하락",[머니투데이방송 MTN 최소라 기자] 국제유가가 이달들어 가장 큰 폭으로 떨어졌습니다. 5일(현지시간) 뉴욕상업거래소에서 8월분 서부텍사스산원유(WTI)는 전일보다 배럴당 1.94달러(4.1%) 하락한 45.13달러로 거래를...
64,2017.07.07.,"韓銀, 국제유가 급락에 긴축기조 '깜빡이' 끄나",(서울=연합인포맥스) 노현우 기자 = 한국은행의 통화정책 기조 전환이 최근 급락한 국제유가에 영향을 받아 늦춰질 수 있다는 진단이 제기됐다. 현재 물가상승 압력이 충분치 않은 상황에서 국제유가까지 크게...
65,2017.07.06.,[경제 인사이드] 국제유가 하락의 배경은?,[경제 인사이드] 국제유가 하락의 배경은? KBS ▶ [저작권자ⓒ KBS 무단복제-재배포 금지]
66,2017.06.28.,"국제유가, 달러화 하락속 상승…WTI 2%↑",국제유가는 27일(현지시간) 2% 안팎의 상승을 기록했다. 미국 뉴욕상업거래소(NYMEX)에서 서부텍사스산 원유(WTI) 8월 인도분은 전날보다 86센트(2%) 오른 배럴당 44.24달러에 거래를 마쳤다. 런던 ICE 선물시장에서 8월...
67,2017.07.06.,[And 경제인사이드] 유가 급락에 경유 찬밥… 정유사들 비정유 사업 콸콸,하지만 올해 2분기는 상반기 국제유가 급락에 따른 실적 부진이 예상된다. 정유 부문에 의존하는 사업 포트폴리오로는 이처럼 실적이 롤러코스터를 탈 수밖에 없는 구조다. 이에 따라 정유사들은 비정유 부문의...
68,2017.07.06.,다시 급락한 국제유가…채권 강보합권,이는 반등하던 국제유가가 갑자기 다시 급락했기 때문이다. 뉴욕상업거래소에서 서부텍사스산원유(WTI) 8월물은 배럴당 1.94달러(4.1%) 하락한 45.13달러에 장을 마감했다. 한달 만에 최대 하락 폭이다. 국제유가가...
69,2017.06.29.,제조업 체감경기 두달째 '뒷걸음'…유가하락 불안감,석유정제·조선업 악화…건설·도소매업도 위축 국내 업체들의 체감경기가 국제유가 하락 탓에 나빠진 것으로 조사됐다. 한국은행은 6월 제조업 업황 경기실사지수(BSI)가 78로 지난달보다 4포인트(p)...
70,2017.07.05.,"국제유가 향방은? ""러시아, OPEC 추가 감산 반대""",이러한 움직임은 감산량을 하루에 180만 배럴로 합의했음에도 유가 상승을 충분히 끌어내지 못한다는... 브렌트유가 지난달 7개월 만의 저점을 찍고 반등했지만 공급 억제는 강력해질 필요가 있다는 게 골드만삭스를...
71,2017.07.05.,[뉴욕개장]나스닥만↑…공급우려에 국제유가 3% 급락,6월 연방공개시장위원회(FOMC) 의사록에 시장의 관심이 집중된 가운데 국제유가가 3% 이상 급락해 증시를 누르고 있다. 오전 10시 36분 현재 다우존스산업평균지수는 41.27p(0.19%) 하락한 2만1438.00을 기록 중이다....
72,2017.07.04.,[특징주]국제유가 상승···항공株 약세,"= 국제유가가 올해 들어 최장기 상승세를 유지하는 가운데, 항공주가 일제히 약세를 나타내고 있다. 이날 오전 10시13분 현재 운수창고업종 지수는 전일 대비 14.66포인트(-0.86%) 하락한 1683.67을 기록하고 있다...."
73,2017.07.07.,"국제유가 또 떨어지나, 정유4사 사우디아라비아 움직임에 촉각",사우디아라비아가 원유 생산을 늘릴 수도 있어 국내 정유사들이 국제유가 흐름에 촉각을 곤두세우고 있다. OPEC(석유수출국기구)의 원유감산 합의가 사실상 파기돼 국제유가가 계속 떨어지면 국내 정유사들의 하반기...
74,2017.07.06.,"국제유가, 러시아 '재뿌리기'에 하락 마감…WTI 4% 급락",5일(현지시각) 국제 유가가 큰 폭으로 하락하며 마감했다. 산유국들의 수출량이 증가한 데다 러시아가 감산규모 확대에 대해 부정적인 입장을 보이며 다시 원유공급에 대한 우려가 불거졌다. 뉴욕상업거래소에서...
75,2017.07.06.,"국제유가, 러시아 감산 확대 반대에 급락",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 5일(현지시간) 급락했다. 러시아가 감산 폭 확대에 시큰둥한 반응을 보이면서 석유수출국기구(OPEC)가 주도하는 감산이 원유시장 균형 회복으로 이어지지 못할 것이라는...
76,2017.07.03.,"사상 최고치 美 증시…""저유가에 발목 잡히지 않을 것""","국제 유가 역시 지난해 저점인 배럴당 26.21달러 수준까지 밀리지는 않았다. 아길라는 ""우리는 매우 다른 경제적 환경에 처해 있으며, 유가가 하락하더라도 회복세에 타격을 입지 않을 수 있다""고 말했다. 또한 많은..."
77,2017.07.04.,유가 랠리 하반기에도 지속… '수급 균형·중동 리스크',그러나 미국 셰일 업계의 원유 생산이 주춤해지면서 국제유가는 최근 반등에 성공했다. 이날 CNBC 방송은 반등에 성공한 석유 가격이 올해 하반기에도 상승세를 이어갈 것이라고 전문가들의 의견을 인용해 보도했다....
78,2017.07.06.,[국제유가] OPEC 원유 수출량 증가에 급락...WTI 4%↓,[사진=연합/AP] 문은주 기자 = 5일(현지시간) 국제유가는 석유수출국기구(OPEC) 회원국의 원유 수출량이 증가했다는 소식에 약 4% 하락했다고 CNBC 등 외신이 전했다. 미국 뉴욕상업거래소(NYMEX)에서 서부텍사스산...
79,2017.07.07.,"[글로벌 시황] 국제유가, 美 지난주 원유재고 감소에 상승","강세 - 국제유가, 美 지난주 원유재고 감소에 상승 ※ 생방송 '굿모닝 마켓워치 1부'는 매일 오전 6시 40분에 방송되며, 세계 금융시장의 빅 이슈를 한눈에 정리하고, 국내 시장이 시작하기 전 글로벌 시장 분석을 통해..."
80,2017.06.27.,국제유가 하락에 원유펀드 손실 '눈덩이',"최근 1개월 손실 16% 넘어…""유가, 반등 여지 적어"" 국제유가 하락[연합뉴스 PG] 국제 유가의 하락 여파로 원유에 투자하는 펀드가 줄줄이 '울상'을 짓고 있다. 27일 펀드평가사 제로인에 따르면 실물자산에 연동해..."
81,2017.07.03.,저유가 시대에 알뜰주유소…‘정책 실효성’ 논란,알뜰주유소는 2011년 이명박 정부 당시 국제유가가 100달러를 웃돌던 고유가 시대에 기름값을 잡기 위해 시행됐다. 한국석유공사가 정유업체에서 대량으로 기름을 구매해 주유소 부대 서비스 등을 없애 기름값을...
82,2017.07.05.,"국제유가, 미 증시 휴장에 관망세…보합권 등락",미국 증시가 독립기념일을 맞아 쉬는 가운데 국제유가는 뚜렷한 움직임을 보이지 않았다. 거개량이 줄어들어 전반적으로 관망세가 이어졌고 유가는 보합권에서 등락을 보였다. 4일(현지시각) 월스트리트저널(WSJ)은...
83,2017.07.03.,리비아 산유량 4년 만에 최대…유가 반등세에 걸림돌,6개월 만에 최장 랠리를 기록하던 국제유가에 다시 압력을 가할 수 있는 요소이다. 2일(현지시간) 블룸버그는 사안에 정통한 소식통을 인용해 리비아의 원유 생산량이 일평균 100만5000배럴을 기록했다고 보도했다....
