,날짜,제목,요약
14,2018.04.09.,"국제유가 떨어져, 무역전쟁 가능성 여전하고 원유 생산량도 늘어","국제유가가 떨어졌다. 미국과 중국의 무역전쟁 가능성이 여전하고 세계적으로 원유 생산량이 늘어나고 있기 때문이다. 7일 서부텍사스산 원유(WTI)는 뉴욕상업거래소에서 배럴당 62.06달러, 브렌트유는..."
15,2018.04.09.,"美 원유 수출량 기록적 수준, 유가 회복 위협 - 톰 클로자",내년도 국제 유가를 움직일 수 있다”고 말했다. 지난 2016년 1월 40여년만에 수출이 허용된 후 미국의 하루 원유 수출 규모는 지난 3월말 기준으로 217만5000배럴로 역대 최고 수준을 보이고 있다. 멕시코와 베네수엘라의...
16,2018.04.09.,"[위클리 Oil] 국제유가 혼재 속, 국내유가 보합세 전망","한국석유공사 관계자는 “국제 유가는 미 원유 재고 감소 등 상승요인과 글로벌 무역분쟁 우려 등 하락요인이 혼재하고 있으며, 국내 제품가격은 보합세를 보일 것으로 전망한다”고 말했다."
17,2018.04.10.,국제 유가 급등...달러 약세 · 무역전쟁 완화 등 호재 부각,[초이스경제 이미애 기자] 9일(미국시각) 국제 유가가 급등했다. 미국의 무역전쟁 우려 완화 노력에다 중동의 정정 불안이 유가 상승 요인으로 작용했다. 달러가치가 약세를 보인 것도 유가엔 호재였다. 뉴욕...
18,2018.04.03.,"국제유가, 2분기 하락출발…WTI 3%↓",국제유가는 2분기 첫 거래일인 2일(현지시간) 하락세를 기록했다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부텍사스산 원유(WTI)는 전 거래일보다 배럴당 3.0%(1.93달러) 떨어진 63.01달러에 거래를 마쳤다....
19,2018.04.09.,[국제유가]WTI‧브렌트유‧두바이유 상승,"[투데이에너지 배유리 기자] 5일 국제유가는 WTI‧브렌트유‧두바이유 모두 상승했다. 한국석유공사에 따르면 서부텍사스산 원유 WTI는 전일대비 배럴당 0.17달러 상승한 63.54달러에, 북해산 브렌트유는 전일대비 0...."
20,2018.04.03.,"국제유가, 무역전쟁 우려에 3%대 급락","美 WTI 3.0%, 英 브렌트유 2.5% 하락 미중 무역전쟁 우려로 원유 시장 위축 뉴욕 증시 급락도 시장 심리에 영향 = 국제유가가 글로벌 무역 전쟁에 대한 우려로 올해 2분기 첫날 거래에서 큰 폭으로 떨어졌다. 2일..."
21,2018.04.06.,"국제유가, 무역전쟁 우려 완화에 상승",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 5일(현지시간) 상승했다. 무역전쟁 우려를 덜고 주식시장이 오름세를 보이면서 유가도 덩달아 올랐다. <사진=블룸버그> 뉴욕상업거래소(NYMEX)에서 거래된 5월 인도분...
22,2018.04.07.,"국제유가, 미·중 무역 갈등에 하락",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 6일(현지시간) 하락했다. 도널드 트럼프 미국 대통령이 중국에 1000억 달러 규모의 관세 부과를 검토하라고 지시하고 중국도 세계무역기구(WTO) 제소 절차에 돌입하면서...
23,2018.04.05.,[국제유가] 무역분쟁 확산 영향 하락… 'WTI 63.37달러',[뉴데일리-송승근 기자] 국제유가가 글로벌 무역분쟁 우려 영향으로 일제히 하락했다. 5일 한국석유공사에 따르면 4일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된 서부텍사스산원유(WTI)는 전일대비 배럴당 14센트...
24,2018.04.06.,"국제유가, 무역전쟁 우려 완화에 소폭 상승",미국과 중국의 관세 폭탄으로 무역전쟁 우려가 제기된 가운데 양측이 협상 여지를 남기면서 유가는 강보합세를 보였습니다. 최대식 기자(dschoi@sbs.co.kr) ☞ [끝까지 판다] 삼성 경영권 승계와 에버랜드 땅값...
25,2018.04.05.,"국제유가, 미 재고 감소에도 약보합",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 4일(현지시간) 약보합권에서 마감했다. 미국의 원유 재고가 감소했지만 무역전쟁에 대한 우려가 위험 자산 회피 분위기를 만들면서 유가는 크게 움직이지 못했다. 미국...
26,2018.03.30.,"국제유가, 감산 기대에 반등…WTI 0.9%↑",국제유가는 29일(현지시간) 나흘 만에 반등했다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부텍사스산 원유(WTI)는 전날보다 배럴당 0.56달러(0.9%) 상승한 64.94달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
27,2018.04.06.,"유가 상승, WTI 63.54달러…카타르 산유국 공조 지지",[자료=한국석유공사] [EBN 최수진 기자]국제유가가 글로벌 무역전쟁 우려 완화와 카타르의 산유국 공조 지지 의사 등의 영향으로 상승했다. 6일 한국석유공사에 따르면 5일(현지시간) 뉴욕상업거래소(NYMEX)의 미국...
28,2018.03.29.,"국제유가, 재고부담 속 약세…WTI 1.3%↓",국제유가는 28일(현지시간) 원유재고 부담 속에 비교적 큰 폭으로 내렸다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.87달러(1.3%) 하락한 64.38달러에 거래를 마쳤다....
29,2018.04.06.,[국제유가] 美 원유재고 감소 여파 상승...'WTI 63.54달러',[뉴데일리-송승근 기자] 국제유가가 미국 원유재고 감소 여파 지속 및 카타르의 산유국 공조 지지 발언 등의 영향으로 일제히 상승했다. 6일 한국석유공사에 따르면 5일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된...
30,2018.04.03.,정유 4사 직원 평균 연봉 ‘1억’…국제유가 상승 덕분,"국제유가 상승의 덕을 톡톡히 본 것으로 분석된다. 3일 ‘2017년 사업보고서’를 제출한 석유제품 정유 4사의 직원(임원 제외) 1인당 평균 연봉(급여 및 상여금)을 보면, 급여총액이 가장 높은 회사는..."
31,2018.04.05.,[국제유가] WTI 0.2%↓…원유재고 감소 vs 무역전쟁 우려,국제유가가 4일(현지시간) 소폭 하락했다. 중국이 미국산 수입품에 대해 관세를 부과함에 따라 무역전쟁에 대한 우려가 커진 영향이다. 다만 미국의 지난주 원유재고가 예상과 달리 감소한 것으로 나타나 하락폭을...
32,2018.04.06.,"국제유가, G2무역전쟁 숨고르기에 상승..WTI, 0.3%↑",[뉴욕= 국제유가가 5일(현지시간) 올랐다. 미국·중국 주요 2개국(G2) 간 무역전쟁이 숨 고르기 양상으로 흘러가면서다. 뉴욕상업거래소(NYMEX)는 이날 5월 인도분 서부텍사스산 원유(WTI)는 전 거래일보다 배럴당...
33,2018.04.06.,"[글로벌 시황] 상품시장, 국제유가 무역전쟁 우려 완화로 반등","< 박민영 MTN앵커 > - 뉴욕증시, 3일째 상승 무역전쟁 돌파구 기대 - 업종, 11개 업종 중 10개 업종 상승… 에너지 하락 - 유럽증시, 무역전쟁 우려 완화에 랠리 - 상품시장, 국제유가 무역전쟁 우려 완화로 반등 - 일본증시..."
34,2018.04.07.,[국제유가] G2 무역 전쟁 우려 고조 속 하락...WTI 0.42%↓,"트럼프, 대(對)중국 추가 관세 조치에 G2 무역전쟁 우려 높아져 무역전쟁 우려에 달러 약세...국제 금값은 상승 마감 문은주 기자 joo0714@ajunews.com [사진=연합/AP] 6일(이하 현지시간) 국제유가는 트럼프 행정부의 대..."
35,2018.03.28.,"국제유가, 이틀 연속 조정…WTI 0.5%↓",국제유가는 이틀째 하락했다. 27일(현지시간) 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.30달러(0.50%) 내린 65.25달러에 거래를 마쳤다. 런던 ICE 선물거래소의 5월물...
36,2018.04.03.,"국제유가, 하락세..WTI 3%↓",[뉴욕= 국제유가가 2일(현지시간) 2분기 첫 거래부터 하락세를 맞이했다. 뉴욕상업거래소(NYMEX)는 이날 5월 인도분 서부텍사스산 원유(WTI)가 전 거래일보다 배럴당 3.0%(1.93달러) 떨어진 63.01달러에 거래를 마쳤다고...
37,2018.04.04.,"국제유가, 주식 강세에 상승",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 3일(현지시간) 상승했다. 전날 급락했던 주식시장이 회복세를 보이며 원유 선물 시장도 그 뒤를 따랐다. <사진=블룸버그> 뉴욕상업거래소(NYMEX)에서 거래된 5월 인도분...
38,2018.03.29.,"하나금투 ""국제유가 2분기에 55∼65달러 등락 전망""","국제유가 (PG)[제작 조혜인] 일러스트 하나금융투자는 29일 국제유가가 올해 2분기에 배럴당 55∼65달러 선에서 움직일 것으로 전망했다. 김훈길 연구원은 ""국제유가는 작년 하반기 이후 큰 폭으로 올라 올해 1월 3년..."
39,2018.03.27.,국제유가 급등 뒤 숨고르기…WTI 0.50%↓,국제유가는 26일(현지시간) 소폭 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 전거래일보다 배럴당 0.33달러(0.50%) 하락한 65.55달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
40,2018.04.06.,"국제유가 소폭 올라, 무역분쟁 우려 완화로 투자심리 회복",국제유가가 올랐다. 미국과 중국이 무역전쟁을 벌일 가능성이 낮아져 투자심리가 회복되고 원유 수요가 늘어날 것으로 전망된 데 영향을 받았다. 5일 서부텍사스산 원유(WTI)는 뉴욕상업거래소에서 배럴당 63.54달러...
41,2018.04.03.,[국제유가] OPEC 생산량 증가 전망에 하락… 'WTI 63.01달러',"[뉴데일리-송승근 기자] 국제유가가 OPEC의 3월 생산량 증가 전망, 중국의 대(對)미 관세 부과, 미 달러 강세 등의 영향으로 하락했다. 3일 한국석유공사에 따르면 2일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된..."
42,2018.04.07.,국제 유가 & 美 정유주 곤두박질...양대 악재는?,미국 원유채굴장비 급증 & 무역전쟁 우려 고조...원유시장도 급랭 [초이스경제 이미애 기자] 6일(미국시각) 국제 유가가 전날의 소폭 상승세를 뒤로하고 다시 급락했다. 미국-중국 간 무역전쟁 우려가 다시 커진데다...
43,2018.04.03.,중동 긴장 완화에 유가 급락,WTI 3%·브렌트유 2.5%↓ 국제유가가 중동 긴장감 완화와 무역전쟁에 따른 글로벌 수요 위축에 대한 염려로 올 2분기 시작부터 급락세를 보였다. 2일(현지시간) 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부텍사스산 원유...
44,2018.04.04.,"국제유가, 산유국간 협의체 설립 기대에 상승.",[한국무역신문 = 김성욱 기자] 국제유가가 석유수출국기구(OPEC)와 비OPEC 간 협의체 설립 기대 등으로 상승했다. 4일 한국석유공사에 따르면 3일(현지시간) 뉴욕상품거래소(NYMEX)에서 서부텍사스산원유(WTI) 5월물은...
45,2018.04.06.,5일 국제유가 상승,"한국석유공사는 5일 국제유가는 글로벌 무역전쟁 우려 완화, 카타르의 산유국 공조 지지 발언, 미국 원유재고 감소 여파 지속 등으로 상승했고, 미국 달러화 강세 등은 상승폭을 제한했다고 전했다.  "
46,2018.04.01.,`유가·환율` 쌍날개 항공株 고공행진,"김영호 삼성증권 연구원은 ""최근 지속적인 강세를 보이던 국제 유가가 미국의 원유 생산과 재고 증가 소식에 소폭 하락세로 돌아섰다""며 ""북·중 정상회담에 따른 지정학적 리스크 완화와 한미 자유무역협정(FTA)..."
47,2018.03.24.,"국제유가, 감산연장 기대에 상승…WTI 2.5%↑",국제유가는 23일(현지시간) 대폭 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 2.5%(1.58달러) 오른 65.88달러에 거래를 마쳤다. 런던 ICE 선물거래소의 5월물...
48,2018.04.03.,"국제유가, 위험자산 회피에 하락",[뉴욕=뉴스핌 김민정 특파원] 국제유가가 2일(현지시간) 하락했다. 미국 주식시장을 필두로 위험 회피 현상이 짙어지면서 투자자들은 원유 선물 투자를 망설였다. 뉴욕상업거래소(NYMEX)에서 거래된 5월 인도분...
49,2018.04.07.,"유가 하락, WTI 62.06달러…G2 무역분쟁 우려 재점화","[자료=한국석유공사] [EBN 최수진 기자]국제유가가 미-중 무역분쟁 우려 재점화, 리비아 원유 생산 증가 등의 영향으로 하락했다. 7일 한국석유공사에 따르면 6일(현지시간) 뉴욕상업거래소(NYMEX)의 미국..."
50,2018.04.04.,"""불확실성 해소되는 국제유가, 매수 기회 삼아야""",국제유가의 하락 요인에 대한 불확실성이 어느 정도 해소되고 미국 증시 반등으로 인해 위험자산이 선호되고 있기 때문이다.   4일 키움증권은 “국제유가는 미 증시 반등으로 인한 위험자산 선호에 전일 하락폭을...
51,2018.04.01.,유가 계속 오르는데…원유펀드 투자해볼까,국제유가가 꾸준히 상승한 영향이다. 특히 지난해부터 지속된 유가 상승으로 장기 수익률도 고공행진을 이어가고 있다. 1일 펀드평가사 KG제로인에 따르면 운용순자산 10억원 이상인 원유 펀드 중 원유 선물을...
52,2018.04.05.,"원-달러환율, 국제유가, 가상화폐 시세 다 하락세...두바이유만 소폭 상승","국제유가는 서부텍사스유가 63.37달러를 기록해 전날보다 0.14달러(0.22%) 하락했다. 두바이유 시세는 65.17달러로 전날 대비 0.01달러(0.01%) 올랐고, 브렌트유는 68.02달러로 전날대비 0.10달러(0.15%) 떨어졌다...."
53,2018.04.05.,4일 국제유가 하락,"70달러에 거래를 마쳤다.   한국석유공사는 4일 국제유가는 글로벌 무역분쟁 우려 등으로 하락했고, 미국 원유 재고 감소, OPEC 원유 생산 감소, 미국 달러화 약세 등은 하락폭을 제한했다고 전했다.  "
54,2018.04.05.,[글로벌 에너지] 국제유가 시장에 드리운 '무역전쟁'의 암운…유가 향방은,"(사진=연합) ""> 올해 2분기 거래 첫날이었던 월요일(2일) 증시와 국제유가는 글로벌 무역 전쟁에 대한 우려에 곤두박질쳤다. 이날 뉴욕상업거래소(NYMEX)에서 서부 텍사스산 원유(WTI) 선물은 전날보다 배럴당 1.93달러(3.0..."
55,2018.04.04.,"[핫!종목] 항공株, 유가 '악재' 뛰어넘는 환율·중국 '호재'","지난해 하반기부터 가파른 상승세를 보여왔던 국제유가는 올해 들어 박스권에서 등락을 반복하는데, 여전히 전년대비 상당히 높은 수준이어서 부담이긴 하지만 환율과 중국발 호재가 이를 상쇄시키는 분위기다...."
56,2018.04.06.,"[데일리 Oil] 미·중 관세 대립, 협상 가능성 내비쳐…국제유가 소폭 상승",[산업일보] 글로벌 무역전쟁 우려 완화로 국제유가가 소폭 상승했다. 한국석유공사에 따르면 5일(현지시간) 뉴욕상업거래소(NYMEX) 미국 서부텍사스산 원유(WTI)는 전일대비 배럴당 0.17달러 오른 63.54달러로 마감했다....
57,2018.04.03.,'봄이 왔다'..유가 안정세·환율 하락에 웃음짓는 항공사,사진= 대한항공(좌)과 아시아나항공(우)[머니투데이방송 MTN 황윤주 기자]원화 가치 상승(원·달러 환율 하락)과 국제유가 안정세로 국내 항공사들이 수혜를 입을 전망이다. 2일 서울외환시장에서 원·달러 환율은 1056....
58,2018.03.23.,"국제유가, 사흘만에 하락…WTI 1.3%↓",국제유가는 22일(현지시간) 사흘 만에 내렸다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 1.3%(0.87달러) 떨어진 64.30달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
59,2018.04.04.,"국제유가 올라, 미국 증시 상승으로 위험자산 선호심리 회복","국제유가가 소폭 반등했다. 미국 증시가 오른 데 영향을 받았다. 3일 서부텍사스산 원유(WTI)는 뉴욕상업거래소에서 배럴당 63.51달러, 브렌트유는 런던ICE선물시장에서 배럴당 68.12달러에 거래를 마쳤다. 전일보다..."
60,2018.04.03.,무역전쟁에 환율·유가하락에…수출株 빨간불 켜지나,- 삼성전자·SK하이닉스 심상치 않은 주가 하락 - 외국인 최근 12거래일 동안 7200억원어치 삼성전자 순매도 - 안전자산 선호심리 확산 속 국제유가도 하락 미국과 중국간 무역전쟁 우려가 커지면서 국내 증시 대표 수출주...
61,2018.03.30.,"국제유가, OPEC 감산 연장 가능성에 상승",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 29일(현지시간) 상승했다. 석유수출국기구(OPEC)가 올해 말까지 이행하기로 한 하루 180만 배럴의 감산을 연장할 수 있다고 시사하면서 투자 심리가 개선됐다. 뉴욕 증시의...
62,2018.04.04.,"[모닝브리핑] 키움증권, “국제유가 위험자산 선호에 반등”",[서울경제] -키움증권은 3일(현지시간) 국제유가가 미 증시 반등으로 인한 위험자산 선호에 전일 하락폭을 일부 만회하며 0.8% 상승마감했다고 밝혀 -또 올해 말 OPEC과 비OPEC 감산 합의가 종료되는 시점에 다시...
63,2018.03.28.,"""국제 유가 상승세…정유·철강·조선 등 수혜주 주목""","부각되면서 유가 상승세가 지속되고 있다. 당분간 상승세가 지속될 것으로 예측되는 가운데 정유, 철강, 조선 등 유가 상승 수혜주의 흐름에 주목해야 한다는 분석이 나왔다. 김대준 한국투자증권 연구원은 28일 ""시장..."
64,2018.04.03.,[원자재시황] 국제 유가 하락…중동 긴장 우려 완화 영향,2일(현지시간) 국제 유가는 중동 긴장 우려가 다소 완화되면서 하락했다. 이날 뉴욕상품거래소(NYMEX)에서 서부텍사스산원유(WTI) 5월 인도분은 전 거래일보다 배럴당 3.0% 떨어진 63.01달러에 장을 마감했다. 같은...
65,2018.03.28.,OPEC·러시아 “석유동맹 연장” 유가 좌우 ‘최대 카르텔’ 뜨나,27일(현지시간) 로이터통신에 따르면 무함마드 왕세자는 전날 이 매체와의 인터뷰에서 “사우디와 러시아는 국제유가 폭락 이후 지난해 1월 시작된 단기간의 원유 감산 동맹을 크게 연장하기로 합의했다”면서 “1년...
66,2018.03.29.,[국제유가] 美 생산 증가 영향 하락… 'WTI 64.38달러',[뉴데일리-송승근 기자] 국제유가가 미국의 재고 및 생산 증가 영향으로 하락했다. 달러화 강세도 유가 하락을 견인했다. 29일 한국석유공사에 따르면 28일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된...
67,2018.03.30.,[국제유가] 美 시추기 감소 영향 상승… 'WTI 64.94달러',[뉴데일리-송승근 기자] 국제유가가 세계 최대 석유 수요처인 미국의 원유 시추기 감소 영향으로 상승했다. OPEC(석유수출국기구) 감산 기한 연장 기대감과 지정학적 우려 지속 등의 소식도 유가 상승을 견인했다....
68,2018.03.22.,"국제유가, 미 재고 감소에 강세…WTI 2.6%↑",국제유가는 21일(현지시간) 이틀째 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 2.6%(1.63달러) 오른 65.17달러에 거래를 마쳤다. 런던 ICE 선물거래소의 5월물...
69,2018.04.04.,[국제유가]2일 WTI·브렌트유↓두바이유↑,"[투데이에너지 배유리 기자] 2일 국제유가는 WTI·브렌트유는 하락했고 두바이유는 상승했다. 한국석유공사 페트로넷에 따르면 서부텍사스산 원유 WTI는 전일대비 배럴당 1.93달러 하락한 63.01달러에, 북해산..."
70,2018.04.03.,"국제유가 떨어져, 미국 중국 무역전쟁 가능성에 투자심리 위축","국제유가가 떨어졌다. 미국가 중국 사이에 무역전쟁이 벌어질 가능성이 커진 데 영향을 받았다. 2일 서부텍사스산 원유(WTI)는 뉴욕상업거래소에서 배럴당 63.01달러, 브렌트유는 런던ICE선물시장에서 배럴당 67...."
71,2018.03.29.,"국제유가, 미 재고 증가에 하락",[뉴욕=뉴스핌 김민정 특파원]  국제유가가 28일(현지시간) 하락했다. 미국의 원유 재고가 증가하면서 유가 하락 압력이 됐다. 원유 저장 시설 <출처=블룸버그> 뉴욕상업거래소(NYMEX)에서 거래된 5월 인도분...
72,2018.04.03.,[국제유가] WTI 3% 급락…美증산 + 러 산유량↑ + 사우디 가격↓,국제유가는 2분기 첫 거래일인 2일(현지시간) 3% 급락세를 기록했다. 미국과 중국 간 무역 분쟁이 심화되고 있는 가운데 러시아의 산유량 증가와 사우디아라비아의 아시아 수출가 인하 전망이 유가를 압박했다. 이날...
73,2018.03.21.,"국제유가, 중동긴장 우려에 상승…WTI 2.3%↑",국제유가는 20일(현지시간) 중동의 긴장이 고조될 것이라는 우려에 따라 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 5월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 2.3%(1.41달러) 오른 63.54달러에 거래를...
74,2018.04.02.,"3월 넷째주 국제유가, 상승…나프타價 전주비↑",ⓒ한국석유공사 [EBN 권영석 기자]국제유가가 꾸준히 상승하고 있다. 산유국의 감산 기한 연장 기대가 유가 상승에 영향을 준 탓이다. 연초 배럴당 60달러에 머물던 서부 텍사스산원유(WTI)는 최근 65달러에 육박했다....
75,2018.04.06.,"국제 유가 반등, 美 정유주 급등...원유시장 호 · 악재는?",무역전쟁 우려 완화는 호재 vs 달러 강세는 유가 상승 제한 [초이스경제 이미애 기자] 5일(미국시각) 국제 유가가 전날의 소폭 하락세를 뒤로 하고 다시 소폭 상승했다. 무역전쟁 우려 완화가 유가를 끌어 올렸지만...
76,2018.04.02.,은행街 유가 전망 6개월 연속 상향…WTI 59弗,"[ 글로벌 은행들이 국제유가 전망치를 6개월 연속 상향 조정했다. 원유재고가 줄고 지정학적 리스크가 커질 것이란 이유에서다. 월스트리트저널(WSJ)은 최근 JP모건, 바클레이스, 시티그룹 등 글로벌 투자은행 15곳을..."
77,2018.04.02.,[국제상품시황]국제유가 美재고 증가에 하락...WTI 1.4%↓,[서울경제] 서부텍사스산원유(WTI) 5월물은 배럴당 1.43%(0.94달러) 하락한 64.94달러에 마감했다. 산유국들이 10~20년 기간의 장기적 감산 합의 연장을 검토하고 있다는 소식에도 불구하고 미국의 생산량 증가 우려에...
78,2018.03.27.,[국제유가] 美 생산량 증가 영향 하락… 'WTI 65.55달러',"[뉴데일리-송승근 기자] 국제유가가 미 원유 시추기 수 및 원유 생산량 증가, 차익 실현 매물 출회 등의 영향으로 하락했다. 27일 한국석유공사에 따르면, 26일(현지시각) 뉴욕상업거래소(NYMEX)에서 거래된..."
79,2018.04.02.,"<연합인포맥스 폴①> 유가, 2분기 60달러…하락 전망",(서울=연합인포맥스) 신윤우 기자 = 국제유가는 2분기에 배럴당 60달러를 기록하며 1분기 말 대비 하락할 것으로 예상됐다. 석유수출국기구(OPEC)가 올해 말까지 감산을 지속할 계획인 가운데 미국 셰일오일 업체의...
80,2018.03.20.,"국제유가, 주가하락·원유증가 우려에 약세…WTI 0.5%↓",국제유가는 19일(현지시간) 하락세를 보였다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 0.5%(0.28달러) 떨어진 62.06달러에 거래를 마쳤다. 런던 ICE 선물거래소의...
81,2018.03.26.,국제유가 71달러도 돌파…트럼프發 이란 제재 우려 탓,국제유가가 미국의 대(對) 이란 제재를 둘러싼 우려가 짙어지면서 이틀째 70달러를 웃돌며 고공행진하고 있다. 26일(이하 한국시간) 블룸버그에 따르면 국제유가 기준인 북해산 브렌트유의 5월물 가격은 런던 ICE...
