,날짜,제목,요약
10,2018.03.10.,"유가 상승, WTI 62.04달러…미 경제지표 개선","[자료=한국석유공사] [EBN 최수진 기자]국제유가가 미 경제지표 개선, 미 원유 시추기수 감소 등의 영향으로 상승했다. 10일 한국석유공사에 따르면 9일(현지시간) 뉴욕상업거래소(NYMEX)의 미국서부텍사스산원유(WTI)..."
11,2018.03.03.,국제유가 나흘만에 반등…WTI 0.4%↑,무역전쟁 우려 속 '안전자산' 금 강세 국제유가는 2일(현지시간) 나흘 만에 반등했다. 이날 뉴욕상품거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 0.26달러(0.4%) 상승한 61.25달러에...
12,2018.03.10.,3대 호재 부각?...국제 유가 급등세로 돌변,"달러 강세 주춤, 위험자산 선호 부각, 원유채굴장비 감소에 유가 3%나 껑충 [초이스경제 이미애 기자] 9일(미국시각) 국제 유가가 사흘만에 껑충 올랐다. 미국 달러가치 상승세가 주춤해진 가운데 미국의 원유 채굴장비..."
13,2018.03.09.,"[국제유가] WTI, 60달러선 턱걸이…달러 강세 + 무역전쟁 우려","[국제유가] WTI, 60달러선 턱걸이…달러 강세 + 무역전쟁 우려 국제유가는 8일(현지시간) 전날에 이어 하락세를 이어갔다. 달러화가 강세를 나타낸 가운데 미국 쿠싱 지역의 원유 재고 증가 신호와 미국의 산유량 증가..."
14,2018.03.09.,8일 국제 유가 하락,"8일 국제 유가는 미국 원유 생산량 증가, 미국 쿠싱 지역 원유 재고 증가, 중국 원유 수입 감소, 미국 달러화 강세 등의 영향으로 하락했고 2018년 세계 석유 수요 전망 유지 등은 하락폭을 제한했다.  "
15,2018.03.10.,美 원유생산 증가·무역전쟁 우려에 국제유가 약세,​국제유가가 미국내 원유 생산 증가 소식에 약세를 보이고 있다. 여기에 미국발(發) 무역전쟁 우려가 커지자 약세 부담이 커지는 모습이다. 이번주 국제유가는 7일(현지시간) 미국 원유재고 증가 소식에 약세로...
16,2018.03.09.,"[무역전쟁] ""트럼프 관세 부과, 유가 급락 유발 위험""",[뉴스핌= 이홍규 기자]  도널드 트럼프 미국 대통령의 알루미늄과 철강 수입품 대한 고율 관세로 국제 유가가 큰 폭으로 떨어질 수 있다는 관측이 나왔다. 8일(현지시간) 미국 경제매체 CNBC뉴스는 트럼프 대통령이 철강과...
17,2018.03.02.,"국제유가, 재고 우려에 하락세 지속…WTI 1.1%↓",국제유가는 1일(현지시간) 하락세를 이어갔다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부텍사스산 원유(WTI)는 배럴당 0.65달러(1.1%) 하락한 60.99달러에 거래를 마쳤다. 런던 ICE 선물거래소의 4월물...
18,2018.03.08.,"[글로벌 에너지] 트럼프發 무역전쟁, 국제유가 폭락한다…왜?",트럼프발 보호무역주의가 국제유가를 큰 폭으로 끌어내릴 수 있다는 경고가 제기됐다. 미국·EU·중국의 전면적 통상전쟁이 글로벌 경제를 둔화시키면서 유가에 하방압력을 가한다는 분석이다. 뉴욕타임스(NYT)는 트럼프...
19,2018.03.07.,[국제유가] 美 달러화 약세 영향 소폭 상승...'WTI 62.6달러',"[뉴데일리-송승근 기자] 국제유가가 미국 달러화 약세 영향으로 소폭 상승했다. 7일 한국석유공사에 따르면, 6일(현지시각) 뉴욕상업거래소(NYMEX)의 미국 서부텍사스산원유(WTI) 가격은 전날보다 배럴당 3센트..."
20,2018.03.06.,[국제유가] 베네수엘라 생산 감소에 상승...'WTI 62.57달러',"[뉴데일리-송승근 기자] 국제유가가 미국 주식시장 상승, 베네수엘라의 원유 생산량 감소 등의 영향으로 일제히 올랐다. 6일 한국석유공사에 따르면, 5일(현지시각) 뉴욕상업거래소(NYMEX)의 미국 서부텍사스산원유..."
21,2018.03.01.,"국제유가, 미 재고증가 부담…WTI 2.2% 하락",국제유가는 28일(현지시간) 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 4월물 서부 텍사스산 원유(WTI)는 배럴당 1.37달러(2.2%) 하락한 61.64달러에 거래를 마쳤다. 런던 ICE 선물거래소의 4월물 브렌트유도 배럴당 0....
22,2018.03.09.,WTI 60달러도 위험...드라기가 국제 유가에 직격탄?,드라기 총재 발언 여파로 달러 급등하자 국제 유가 이틀째 급락 [초이스경제 이미애 기자] 8일(미국시각) 국제 유가가 또 떨어졌다. 전날의 급락에 이어 이틀 연속 하락했다. 미국 달러가치가 강세를 보인데다 미국의...
23,2018.02.28.,"국제유가, 원유재고 부담에 하락…WTI 1.4%↓",국제유가는 27일(현지시간) 1%대 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 4월물 서부 텍사스산 원유(WTI)는 배럴당 0.90달러(1.4%) 하락한 63.01달러에 거래를 마쳤다. 런던 ICE 선물거래소의 4월물 브렌트유도 배럴당...
24,2018.03.08.,6일 국제 유가 상승,"04달러에 거래를 마쳤다.   한국석유공사는 6일 국제 유가는 미국 달러화 약세 등의 영향으로 상승했고 미국 원유 재고 증가 추정, 미국 석유 생산 증가 전망 등은 상승폭을 제한했다고 전했다.  "
25,2018.03.06.,"국제유가, 수요증가 전망에 상승세 이어가","[tbs 백창은 기자] 국제유가가 오는 2023년까지 원유 수요가 증가할 것이라는 전망에 상승세를 이어갔습니다. 뉴욕상업거래소에서 다음달 인도분 서부텍사스산 원유는 어제보다 배럴당 1달러 32센트, 2.2% 오른..."
26,2018.03.06.,"국제유가, 주식 강세·수요 기대에 상승",[뉴욕=뉴스핌 김민정 특파원] 국제유가가 5일(현지시간) 3주간 가장 큰 폭으로 상승했다. 미 공화당의 폴 라이언 하원의장이 나서 철강과 알루미늄에 대한 관세 부과 계획 철회를 촉구하며 뉴욕 증시가 견조한...
27,2018.02.27.,"국제유가, 수급 개선 기대에 강세…WTI 0.6%↑",국제유가는 26일(현지시간) 상승했다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전거래일보다 배럴당 0.36달러(0.6%) 상승한 63.91달러에 거래를 마쳤다. 런던 ICE 선물거래소의 브렌트유...
28,2018.03.07.,"국제유가, 미 재고 지표 주목하며 소폭 상승","[뉴욕=뉴스핌 김민정 특파원]  국제유가가 6일(현지시간) 상승했다. 달러화 약세는 원유 상승을 지지했지만, 미국의 원유 재고가 증가했을 것이라는 전망은 미국산 원유 가격 상승을 제한했다. 원유 저장 시설 <출처..."
29,2018.02.26.,수출물량 석달째 상승…유가 상승에 교역조건은 악화,하지만 국제유가 상승으로 수입가격이 크게 오른 탓에 교역조건은 2년10개월 만에 가장 안좋아졌다. 한국은행이 26일 발표한 '2018년 1월 무역지수 및 교역조건'에 따르면 수출물량지수는 147.23으로(2010=100기준)...
30,2018.02.21.,1월 생산자물가 상승세...'한파·국제유가 상승' 영향,"자료 : 한국은행 한파와 국제유가 인상 등의 영향으로 지난 1월 생산자물가가 상승세를 이어갔다. 생산자물가는 국내 생산자가 시장에 공급하는 상품과 서비스의 가격 변동을 보여주는 지표로, 시차를 두고..."
31,2018.03.07.,6일 국제 유가 상승,"04달러에 거래를 마쳤다.   한국석유공사는 6일 국제 유가는 미국 달러화 약세 등의 영향으로 상승했고, 미국 원유 재고 증가 추정, 미국 석유 생산 증가 전망 등은 상승폭을 제한했다고 전했다.  "
32,2018.03.06.,"국제유가 올라, 국제에너지기구 원유수요 증가 전망 내놔",국제유가가 올랐다. 국제유가는 국제에너지기구(IEA)에서 원유 수요가 증가할 것이라는 전망을 내놓은 데 영향을 받았다. 베네수엘라에서 원유 생산량이 줄어든 것도 국제유가가 오른 원인으로 꼽혔다....
33,2018.02.24.,"국제유가, 리비아 유전중단에 상승…WTI 1.2%↑",국제유가는 23일(현지시간) 상승세를 이어갔다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 1.2%(0.78달러) 오른 63.55달러를 기록했다. 런던 ICE 선물거래소의 4월물...
34,2018.03.08.,"국제 유가, 나흘 만에 급락...미국발 악재 돌출","달러 강세, 위험자산 회피 심리, 원유재고 증가 등이 유가 압박 [초이스경제 이미애 기자] 7일(미국시각) 국제 유가가 모처럼 급락했다. 4거래일 만의 하락이다. 달러 강세와 미국 원유재고 증가가 유가를 다시..."
35,2018.02.23.,"국제유가, 원유재고 감소에 상승…WTI 1.8%↑",국제유가는 22일(현지시간) 미국의 원유재고 감소에 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 1.8% 오른 62.77달러에 거래를 마쳤다. 2주 만에 가장 높은...
36,2018.03.05.,[뉴스 인 포커스] WTI· 브렌트유·두바이유가 국제원유가격 결정… 국내 휘발...,7개월 만에 국내 기름값이 떨어진 것은 국제 유가가 하락하고 있어서다. 국내 기름값의 바로미터인 중동 두바이유는 지난 1월 넷째주 배럴당 66.96달러로 정점을 찍은 뒤 2월 둘째주까지 3주 연속 내렸다. 국제...
37,2018.02.22.,"국제유가, 재고증가·달러 강세에 소폭 하락",국제유가는 21일(현지시간) 소폭 하락했다. 이날 뉴욕상업거래소(NYMEX)에서 4월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 11센트 내린 61.68달러에 거래를 마쳤다. 런던 ICE 선물거래소의 4월물...
38,2018.03.05.,"2월 넷째주 국제유가, 소폭 하락…나프타價 전주비↑","[EBN 권영석 기자] 2월 마지막주 국제유가는 산유국 공조 지속 방안 논의, 미국 원유 생산 증가 우려 등으로 보합세를 보이다, 미 원유 재고 및 생산 증가 추정 등으로 상승세가 꺾였다. 유가는 미국의 원유재고..."
39,2018.03.05.,[국제상품시황]强달러·재고 급증에 국제유가 3.62% 하락,"[서울경제] 미국을 중심으로 글로벌 금리 인상 국면이 본격화되면서 안전자산인 금 가격이 2주 연속 하락했다. 뉴욕상품거래소에서 금 4월물은 온스당 0.52%(6.9달러) 하락한 1,323.4달러에 마감했다. 제롬 파월 신임..."
40,2018.02.15.,"뚝뚝 떨어지는 국제유가…""국내 기름값은 2주뒤 본격 하락""",국제유가 하락 (PG) [제작 조혜인] 일러스트 한동안 상승했던 국제유가가 최근 크게 하락하면서 국내 기름값은 언제쯤 떨어질지에 관심이 쏠리고 있다. 국내 주유소 휘발유 판매 가격은 작년 7월 넷째 주부터 7개월 연속...
41,2018.03.04.,"국제유가, 나흘만에 반등…WTI 0.4%↑",[EBN 권영석 기자] 국제유가가 2일(현지시간) 나흘 만에 반등에 성공했다. 4월 인도분 서부 텍사스산 원유(WTI)는 2일(현지시간) 뉴욕상품거래소(NYMEX)에서 전날보다 배럴당 0.26달러(0.4%) 상승한 61.25달러에 거래를...
42,2018.03.03.,"국제 유가, 무역전쟁 우려 속 4일만에 반등",[뉴욕 = 뉴스핌 황숙혜 특파원]  국제 유가가 4일만에 반등했다. 도널드 트럼프 미국 대통령의 관세 발언에 주식을 포함한 위험자산이 하락 압박을 받았지만 유가는 반등에 성공했다. 원유 <사진=블룸버그> 미국 유전...
43,2018.03.06.,국제 유가 모처럼 급등...무슨 일?,IEA의 수요 전망 강화 & 리비아 생산 축소 등이 호재로 작용 [초이스경제 이미애 기자] 5일(미국시각) 국제 유가가 또 올랐다. 2거래일 연속 상승이다. 오름폭도 확 커졌다. 리바아의 원유생산 감소 속에 향후...
44,2018.03.02.,"국제 유가, 美 재고 증가 빌미로 또 하락",[뉴욕 = 뉴스핌 황숙혜 특파원]  국제 유가가 전날에 이어 큰 폭으로 하락했다. 미국 텍사스주 유전 <사진=블룸버그> 미국 원유 재고와 생산이 늘어났다는 소식이 투자 심리를 냉각시켰다. 이와 함께 휘발유 재고...
45,2018.03.01.,"국제 유가, 미국 공급 증가 소식에 하락",[뉴욕 = 뉴스핌 황숙혜 특파원]  미국 공급 상승 우려가 고개를 들면서 국제 유가가 하락했다. 원유 저장 시설 <출처=블룸버그> 지난주 미국 석유업계의 공급 물량이 늘어났다는 소식이 투자 심리를 냉각시켰다....
46,2018.02.21.,"국제유가, 재고 감소·달러 강세에 혼조",국제유가는 20일(현지시간) 혼조세를 보였다. 이날 뉴욕상업거래소(NYMEX)에서 3월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 0.22달러 오른 61.90달러에 거래를 마쳤다. 런던 ICE 선물거래소의 4월물...
47,2018.02.24.,휘발유 가격 7개월 만에 하락 ‘0.2원’↓ ‘국제유가 하락 영향’,휘발유 가격 7개월 만에 하락 ‘0.2원’↓ ‘국제유가 하락 영향’ [서울경제] 7개월 동안 상승세를 이어가던 국내 휘발유 가격이 하락했다. 오늘 24일 한국석유공사 유가 정보 서비스 ‘오피넷’에 따르면 2월 셋째...
48,2018.03.01.,"'반도체·유가상승' 덕에 2월 조업일수 감소에도 수출액 4.0% 증가...""향후 증...","국제유가는 두바이유 기준으로 작년 2월 54.4달러에서 지난달 62.7달러로 15.3% 상승했다. 선박은 고가의 액화천연가스(LNG) 5척(10억2000만 달러)과 컨테이너선 2척(2억8000만 달러), 원유 생산시설 및 LNG 저장·재기화설비..."
49,2018.02.19.,국제유가 상승으로 다음 달 국제선 유류할증료 또 인상,국제유가 상승세가 계속되면서 다음 달 국제선 유류할증료가 또 오른다. 항공업계에 따르면 다음 달 국제선 유류할증료는 4단계에서 5단계로 이번 달보다 한 단계 상승한다. 이에 따라 다음 달부터 발권하는...
50,2018.02.26.,"[시황] 코스피, 국제유가 상승 SK이노베이션 등 정유株 강세","특히, 국제유가 상승으로 인해 정유주가 강세를 보여 SK이노베이션(4.76%)과 GS(3.89%), 에쓰오일(3.78%) 등이 급등했다. 이에 반해 네이버(-2.29%)와 신한지주(-2.06%), 삼성물산(-1.87%), KB금융(-0.93%), 삼성생명(-0.39..."
51,2018.02.27.,[국제유가] 사우디 석유 생산·수출 방침 영향 상승...'WTI 63.91',"[뉴데일리-송승근 기자] 국제유가가 사우디의 석유 생산 및 수출 관리 방침, 미 달러화 약세 등의 영향으로 일제히 상승했다. 27일 한국석유공사에 따르면 26일(현지시각) 뉴욕상업거래소(NYMEX)의 미국..."
52,2018.02.20.,"키움증권 ""올해 국제유가 밴드 50∼65달러""","키움증권은 올해 국제유가가 50∼60달러에서 움직일 것이라고 전망했다. 안예하 연구원은 20일 ""배럴당 65달러를 웃돌던 서부 텍사스산 원유(WTI) 가격이 59달러 수준까지 급락하면서 원유시장의 변동성이 크게..."
53,2018.03.03.,"유가 변동에 희비 엇갈리는 에너지공기업…가스공사 웃고, 한전 울고",가스요금에는 지난 2015년부터 '연료비(원료비)연동제도'가 적용되고 있어 국제유가 등 연료비 변동이 실적에 영향을 미치지 않는다. 하지만 전기요금에는 이 제도가 적용되지 않고 있어 연료비 변화가 한전의 실적을...
54,2018.02.17.,국제유가 사흘째 강세…WTI 0.6%↑,국제유가는 16일(현지시간) 오름세를 이어갔다. 이날 뉴욕상업거래소(NYMEX)에서 3월 인도부 서부 텍사스산 원유(WTI)는 배럴당 0.34달러(0.6%) 상승한 61.68달러에 거래를 마쳤다. 런던 ICE 선물거래소의 3월물...
55,2018.03.02.,"국제유가, 美 원유·휘발유 재고 증가 등으로 하락",[한국무역신문 = 김성욱 기자] 국제유가가 미국에서 원유 및 휘발유 재고 증가 등으로 하락했다. 2일 한국석유공사에 따르면 1일(현지시간) 뉴욕상품거래소(NYMEX)에서 서부텍사스산원유(WTI) 4월물은...
56,2018.02.23.,"국제 유가, 재고 감소에 상승…WTI 1.77%↑ 브렌트유 1.35%↑",= 국제 유가는 22일(현지시간) 미국 원유 재고량이 예상 외로 감소하고 국내 석유 공급도 수출 증대로 4주일 만에 줄면서 반등했다. 뉴욕상업거래소(NYMEX)에서 이날 서부 텍사스산 원유(WTI)4월 인도분은 전일...
57,2018.03.07.,국제유가 소폭 상승 & 미국 정유주는 혼조...전날 급등 피로감?,"국제 유가, 달러 약세와 남북관계 호전으로 상승했으나 강보합 그쳐 [초이스경제 이미애 기자] 6일(미국시각)에도 국제 유가 상승세가 이어졌다. 3거래일 연속 올랐다. 미국 달러가치 약세가 유가 상승을 거들었다...."
58,2018.02.28.,[국제유가] WTI 1.4%↓ 원유재고 부담에 5거래일만에 하락,[국제유가] WTI 1.4%↓ 원유재고 부담에 5거래일만에 하락 국제유가가 27일(현지시간) 5거래일만에 하락했다. 미국의 지난주 원유재고가 증가했을 것이란 예상과 달러화 강세가 유가를 압박다. 이날 뉴욕상업거래소...
59,2018.03.03.,"유가, 美원유시추기 소폭 증가에 상승...WTI, 0.4%↑",국제유가가 상승했다. 미국의 가동 중인 원유시추기수가 소폭 증가한데다 달러가 약세를 보이면서다. 2일(현지시간) 뉴욕상업거래소에서 4월분 서부텍사스산원유(WTI)는 전일대비 배럴당 26센트(0.4%) 오른 61.25달러로...
60,2018.02.28.,"국제 유가, 달러 상승에 1% 이상 '후퇴'",[뉴욕 = 뉴스핌 황숙혜 특파원]  제롬 파월 미국 연방준비제도(Fed) 신임 의장의 첫 의회 증언이 투자자들 사이에 매파 발언으로 해석되면서 달러화가 오른 한편 국제 유가가 하락했다. 원유 <사진=블룸버그> 주간 미국...
61,2018.02.15.,국제유가 2%대 강세…WTI 60달러 회복,국제유가는 14일(현지시간) 비교적 큰 폭으로 올랐다. 이날 뉴욕상업거래소(NYMEX)에서 3월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 1.41달러(2.4%) 상승한 60.69달러에 거래를 마쳤다. 런던 ICE...
62,2018.03.02.,"국제유가 떨어져, 미국 원유 재고 늘고 무역분쟁 가능성도 부각","국제유가가 떨어졌다. 국제유가는 미국에서 원유 재고가 늘고 무역분쟁이 불거질 것으로 예상되면서 떨어진 것으로 파악됐다. 한국석유공사에 따르면 1일 서부테사스산 원유(WTI)는 배럴 당 60.99달러, 브렌트유는 63...."
63,2018.02.16.,"국제유가, 이틀째 상승세…WTI 1.2%↑",국제유가는 15일(현지시간) 상승세를 이어갔다. 이날 뉴욕상업거래소(NYMEX)에서 3월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 1.2%(0.74달러) 오른 61.34달러에 거래를 마쳤다. 런던 ICE 선물거래소의 4월물...
64,2018.03.02.,"한국가스공사 주가 오를 듯, 국제유가 상승으로 수익 좋아져","국제유가가 상승세를 유지하고 있는 데 힘입어 영업이익이 늘어날 것으로 전망됐다. 허민호 신한금융투자 연구원은 2일 한국가스공사 목표주가를 6만4천 원, 투자의견은 매수(BUY)로 유지했다. 정승일..."
65,2018.02.27.,"[주요이슈3] 국제유가, 3주래 최고 수준 外 <표>",▶ 속보이는 연예뉴스 fn스타
66,2018.02.20.,국제 유가 오름세 지속 …내달부터 국제선 유류할증료 인상,= 국제 유가가 오름세를 지속하면서 다음달부터 국제선 유류할증료도 인상된다. 20일 오전 인천공항 출국장에서 바라본 여객기들이 이륙준비를 하고 있다. 2018.02.20. mania@newsis.com [사진 영상 제보받습니다]...
67,2018.02.13.,물가 밀어 올린 유가…수입물가 석 달 만에 반등,2018.2.11 sagiza@yna.co.kr 국제 유가 상승 여파로 수입물가가 3개월 만에 올랐다. 한국은행이 13일 발표한 '2018년 1월 수출입물가지수'를 보면 수입물가지수는 82.96(2010=100·원화 기준)으로 한 달 전보다 0.7% 상승했다....
68,2018.03.03.,국제유가 나흘만에 반등…뉴욕과 중국증시는?,"국제유가는 나흘만에 반등해 눈길을 끌었다. 2일(현지시간) 뉴욕증권거래소(NYSE)에서 다우존스 30 산업평균지수는 전장보다 70.92포인트(0.29%) 하락한 24,538.06에 거래를 마쳤다. 스탠더드앤드푸어스(S&P) 500 지수와..."
69,2018.03.02.,1일 국제 유가 하락,"42달러에 거래를 마감했다.   한국석유공사는 1일 국제 유가가 미국 원유 및 휘발유 재고 증가 등으로 하락했고, 미국 12월 원유 생산 감소, 미국 달러화 약세 등은 하락폭을 제한했다고 분석했다.  "
70,2018.02.26.,국제유가 상승에 정유주 3~4%대 동반 강세,"정유주가 국제유가 상승에 힘입어 26일 장 초반 일제히 오르고 있습니다. S-Oil과, SK이노베이션과 GS, 모두 3~4%대로 동반 강세 보이고 있습니다. 지난 금요일 뉴욕상업거래소에서 4월 인도분 서부 텍사스산 원유가..."
71,2018.02.27.,"국제 유가, 弱달러-수급 균형 자신감에 UP",[뉴욕 = 뉴스핌 황숙혜 특파원]  달러화가 완만하게 하락한 가운데 국제 유가가 강하게 뛰었다. 산유국들이 원유 시장 수급 균형을 위해 공조하고 있다는 사우디 아라비아 측의 발언도 유가에 호재로 작용했다. 원유...
72,2018.02.28.,[국제유가]27일 WTI·브렌트유 하락,[투데이에너지 배유리 기자] 27일 국제유가는 두바이유는 상승했고 WTI와 브렌트유는 하락했다. 한국석유공사는 서부텍사스산원유인 WTI는 전일대비 배럴당 0.90달러 하락한 63.01달러에 북해산 브렌트유는...
73,2018.02.24.,휘발유 가격 7개월만에 하락...국제유가 하락 영향,최근 국제유가 하락의 영향인 것으로 분석된다. 24일 한국석유공사에 따르면 이달 셋째 주 주유소 휘발유 판매가격은 전주보다 0.2원 내린 리터당 1565.4원을 기록했다. 이는 30주 만에 하락했다. 30주 연속 상승세를...
74,2018.02.21.,[팩트체크]유가 오르면 정유사 이득 늘어날까?,"정유회사들 돈 많이 벌겠는데?"" 국제유가가 석유수출국기구(OPEC) 가입국의 원유감산 합의 연장 등으로 오름세를 이어가고 있다. 국제유가가 상승할 경우 정유업계는 이득을 볼 것이라는 기대가 크다. 과연 유가 상승이..."
75,2018.02.27.,"국제유가, 리비아유전 생산중단 등으로 상승...WTI, 0.6%↑",국제유가가 리비아의 유전 생산중단과 미국의 원유재고량 감소에 힘입어 상승했다. 26일(현지시간) 뉴욕상업거래소에서 4월분 서부텍사스산원유(WTI)는 전일대비 배럴당 36센트(0.6%) 상승한 63.91달러로 거래를...
76,2018.02.27.,유가전망 설왕설래…“60달러대가 정점” vs “상단 열릴 것”,다만 올해 국제유가의 방향성을 두고 전문가들의 의견은 엇갈리고 있다. 국제유가가 정점을 앞두고 있다는 의견은 미국발 원유 초과공급 우려에 기인한다. 트럼프 행정부의 친에너지ㆍ인프라 투자 정책과 생산...
77,2018.02.26.,"[특징주]정유株, 유가 상승에 동반 강세","국제유가의 상승세가 지속되면서 수혜 기대감이 커지는 모양새다. 26일 오전 9시 15분 현재 SK이노베이션(096770)은 전거래일대비 3.26%, 6500원 오른 20만 6000원에 거래되고 있다. GS(078930)와 S-OIL(010950)도 각각 2.01..."
78,2018.02.21.,[뉴욕증시] 월마트 실적 부진에 다우 1.01% 하락..국제유가는 혼조,한편 국제유가는 혼조세를 보였습니다. 이날 뉴욕상업거래소(NYMEX)에서 3월 인도분 서부 텍사스산 원유(WTI)는 전 거래일보다 배럴당 0.22달러 오른 61.90달러에 거래를 마쳤습니다. 런던 ICE 선물거래소의 4월물...
79,2018.02.27.,[국제유가] WTI 0.6%↑ 3주래 최고…美 수요+사우디 감산,[국제유가] WTI 0.6%↑ 3주래 최고…美 수요+사우디 감산 국제유가가 26일(현지시간) 3주 만에 최고치로 상승했다. 미국의 강력한 수요와 사우디아라비아의 감산의지가 맞물렸다. 이날 뉴욕상업거래소(NYMEX)에서 4월...
80,2018.02.19.,사우디 '유가 부양' 강경노선 전환… 경제개혁 추진 영향,사우디아라비아가 고유가를 선호하는 쪽으로 돌아선 것은 OPEC이 주도하는 감산 노력에 힘입어 국제 유가가 2년 전보다 2배 높게 반등하고 과잉 재고도 거의 정상 수준으로 되돌아갔기 때문이다. 사우디는 그러나 현재의...
81,2018.02.26.,국내 휘발유 최장 오름세 마감…국제유가 혼조세에 숨고르는 기름값,- 휘발유가 ‘29주 연속 상승’ 마감하고 하락 전환 - 반갑지반 ‘반짝 세일’ 그칠 가능성 높아…국제유가 다시 반등 국제유가의 지속적인 상승으로 사상 최장 기간 오름세를 지속하던 국내 휘발유 가격이 7개월...
82,2018.02.13.,국제유가 급락세 진정…WTI 0.2% 반등,국제유가가 12일(현지시간) 조금 올랐다. 지난주의 9%대 급락세에서는 일단 벗어난 모습이다. 이날 뉴욕상업거래소(NYMEX)에서 3월 인도분 서부 텍사스산 원유(WTI)는 전거래일보다 배럴당 0.09달러(0.2%) 상승한 59....
83,2018.03.10.,"국제유가,북미정상회담美 채굴기 감소에 사흘 만에 반등…WTI 3.2%↑",국제유가가 9일 북미 정상회담 개최 기대에 따른 지정학 위험 감소에다 미국의 원유채굴기 수 감소 등의 영향으로 사흘 만에 반등했다. 출처=뉴시스 [이코노믹리뷰=박희준 기자]국제유가는 9일(현지시간) 북미...
